artist,song,year,verso_idx,verso_texto
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,0,MI historia es una ciencia
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,1,Lo que canto son historias
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,2,Historias que han pasado
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,3,Yo hoy las guardo en mi conciencia
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,4,Ponganse hacer memoria
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,5,Les dara ataque de histeria
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,7,Recuerden lo que esta escrito
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,8,Si estoy sonando en españa
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,9,Es gracias al publico
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,12,Del acento somos dueños
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,15,Viva mexico!!! vengo ah continuar
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,16,Lo que un dia empezamos
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,17,Somos los que encajamos
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,18,La vieja espada en la roca
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,19,Despues de tanto tiempo aqui
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,20,Esta lo que esperaban
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,21,Nuestras ideas fluyen.estilos destrullen huyen
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,23,Como enemigos varios!
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,25,Estilos unicos sonando en sus barrios
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,26,Soy capaz de llenar un mismisimo ecenario
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,27,Cantando mis oraciones
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,28,Sonora trajo el credo
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,29,Quien no trae comparaciones
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,31,Te arrepentiras de tus acciones
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,32,Mis sonido te infecta cual veneno de inyecciones
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,33,Dia ah dia esucho falsos ignorantes que segun ami me tiran
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,34,Ande rian digan todo lo que puedan
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,35,Escriban en contra mia
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,36,Mi nombre es ivan diesiciete años de edad
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,37,Diesiciete años viviendo dentro de la realidad
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,38,Diesiciete años que tengo y dime quin!!! quien?!!
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,39,Nadie me ah podido parar!! bien!!
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,40,Mirame halza frente asta mi vista
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,41,Difamame! alcabo callaras en pista
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,42,Mi musica ise un poco de raptematicas
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,43,Paranormal y auntentica simplemente este es unica
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,44,Para escuchar para cantar y echar mente ah volar
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,45,Y mientas tanto Mc's tontos traten de ganarme
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,46,Sonare en españa haci que traten de pararme
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,47,No quiero que como al papa me alaven
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,48,Solo quiero que escuchen
Mariachi Vargas de Tecalitlán,El Dos Negro,1976,49,Y que vajen te saluden mientras
