artist,album,year,song,lyrics,es_narco_fuerte,subgenero_ia,conteo_narco,decada
Mariachi Vargas de Tecalitlán,El Mariachi Vargas de Tecalitlán,1976,El Dos Negro,"MI historia es una ciencia
Lo que canto son historias
Historias que han pasado
Yo hoy las guardo en mi conciencia
Ponganse hacer memoria
Les dara ataque de histeria
Eh dos tres
Recuerden lo que esta escrito
Si estoy sonando en españa
Es gracias al publico
Y gracias ami empeño
Enlace entre titanes
Del acento somos dueños
Lo grito con orgullo
Es obregon sonora
Viva mexico!!! vengo ah continuar
Lo que un dia empezamos
Somos los que encajamos
La vieja espada en la roca
Despues de tanto tiempo aqui
Esta lo que esperaban
Nuestras ideas fluyen.estilos destrullen huyen
De este adbersario
Como enemigos varios!
A los contrarios!
Estilos unicos sonando en sus barrios
Soy capaz de llenar un mismisimo ecenario
Cantando mis oraciones
Sonora trajo el credo
Quien no trae comparaciones
De mis canciones
Te arrepentiras de tus acciones
Mis sonido te infecta cual veneno de inyecciones
Dia ah dia esucho falsos ignorantes que segun ami me tiran
Ande rian digan todo lo que puedan
Escriban en contra mia
Mi nombre es ivan diesiciete años de edad
Diesiciete años viviendo dentro de la realidad
Diesiciete años que tengo y dime quin!!! quien?!!
Nadie me ah podido parar!! bien!!
Mirame halza frente asta mi vista
Difamame! alcabo callaras en pista
Mi musica ise un poco de raptematicas
Paranormal y auntentica simplemente este es unica
Para escuchar para cantar y echar mente ah volar
Y mientas tanto Mc's tontos traten de ganarme
Sonare en españa haci que traten de pararme
No quiero que como al papa me alaven
Solo quiero que escuchen
Y que vajen te saluden mientras
Oyes subes mi voz en tu altavoz estereo
Obregon sonara en dos tres el premio record
Representamos españa un hip hop real de mexico
Enlace entre titanes santaflow perfectos lexicos
ALFA ES mi nombre tengo un talento especifico
Presten atencion, escuchen veran que soy unico
Mi hip hop no es magico simplemente es sinsero
Si no les gusto lo que canto metanse este dedo
Voy con ritmo y con palabras.mientras madrid nos espera
Nos tomo distancia y tiempo para llegar hasta aya
Con mi vista hacia alfrente siempre grande admiracion
Con mi voz poetica mis ganas y el corazon canto
Porque quiero y puedo porque tengo especial don
Porque soy mejor que ayer porque soy mejor que hoy
Ahora llebo con fuerza el logotipo enlace entre titanes
Es mi club mi nuevo grupo con los pies en la tierra
Bien puestos y sin moverme.ago latir corazones
Y que piensen diferente, deverdad que no soy el mejor
En esto? pero intento, que el mensaje de mi musica siga
Siendo un ejemplo españa! mi musica con himno cantara
Mano derecha en pecho y la izquierda levantara
Tras el exito de esta cancion gritaran viva mexico!
Que vivan ellos que con sus perfectos lexicos
Tratare de lograr cosas que tu no lograstes
Tratare de hacer cosas que tu nunca isistes
Estare mas adelante de lo que estuvistes
Eh aqui el ejemplo pues ya lo vistes.

Bien vamos al lio.!
Y que mas da si yo vengo de madrid
Y si eh salido del puñetero infierno
Que mas da! si pongo tus nervios ah flow de piel
Oiganme jusgenme me eh colado en mexico por internet
Gozenme sientanme diganlo en la calle de españa llegue!
Y mi mision es conquistarle como mis antepasados mas con
Palabras
Sin sangre que esuchen mi voz de una vez y se queden con
Hambre
Y pidan mas y hagan ruido como un enjambre
Rulenme, pasanme ah todos sus contactos de messenger
Quieranme odienmen y si les ago sentir cosas
Vuelvanlo ah poner.
Como un dios azteca eh despertado de un letargo
Y en esta ocasion tan especial visto de largo,
No vine ah hacer amigos, vine a hacer fans
Os dare obras de caridad porque yo lo valgo
Yo soy aquel chico que quiso jugar con fuego
Estar por ensima del bien y el mal
Tocar el cielo, llamar la atencion
Como aire frio en el infierno
Venid hijos de puta el ave fenix alza el vuelo!!!,
Esto es lo que yo mejor se hacer
Y os quiero dar por el placer de dar esquisitez
Ah cualquier paladar, no gano un puto pezo con la musica
Y da igual tiempo al tiempo que todo se andara
Hago esto porque necesito saflar mi ser irracional
De ahi comunicar .Unir lo mistico
Y lo tecnologico en un mismo track
Y demostrar que soy el mas crak
Suelo soñar jamas en vano,
Ayer me soñe moviendo mazas desde un ecenario con las manos
Y se que pasara lo se siempre lo supe
Tendre mas adictos que la virgen de guadalupe
Y tu que? levanta el brazo y mirate
Tienes los pelos de punta y preguntas. por que?
No lo ves soy parecido ah cocaina
Cuantos de los que me oyes ponen tu piel de gallina?
No tengo disquera ni dinero por ahora
Solo traje un intencion que a tu emocion devora
Me alimento de sensaciones del voca ah voca
Me gano ala gente al dejar mi garganta rota!
No soy un español tipo! ni un rapero tipo!
Ahogaros en vuestra siempleza cutre estereotipos
Yo represento solo mi ego y lo flipo
Que os den por el culo ah los puretas del hip-hop
Puedo cantar un rock an droll!!
Vendir millones de copias, llenar estadios de euforia
Hijos de un chakal no es por dinero es por gloria
Con los hipocritas veres me limpio el nabo
Anti comerciales gana euros ah raulares
Los song dan pasta, los discos dan pasta
Royos hiipies falsos dan asco ya basta!
Yo sueño con exito brutal y no me escondo
La sinseridad me elevara o me hundira ondo!
Cantas para ti, te da igual que te escuchen
Pues no me mandes mas maquetas malas que aburren!
Soy un ereje por desir las cosas claras
España admiracion famosa por su inquisicion
Habladurias son envidias disfrasadaz
No tengo nada pero os puedo dar una leccion
Solo quiero ser libre como el viento
No temo alos Mc's le temo al tiempo .
Con 26 y tengo cara de chaval.eso es por que ya
Eh firmado un pacto con zatan.
Y tengo un plan cojer la pasta
Liarla tan gorda que todas me quieran matar
Simular mi muerte comprar mi libertad
Irme ah venezuela con jesus gil y 2pac

Gelipolleces ah parte lo tengo claro!
Alque no le guste que se aparte de mi lado
Quieres ser mi rival? vas ah acabar muy mal.
Crees poder ganar y mi huracan no eh desatado
Se que duele escucharme porque te das cuenta
Que soy el mejor de todos los hijos de putas
Que van de raperos usando el idioma español
Mi estilo te come tu ravia me pone tu sientes la
Seguridad en mi voz y por eso da igual
Que asumeis contra mi porque tengo el destino de
Ser ganador!",True,0,11,1970
Los Cadetes De Linares,Los Cadetes De Linares Y Sus Corridos,1976,Los Contrabandistas,"El día 22 de mayo
Del año '73
Se agarraron a balazos
Bandidos contra la ley

La carretera a Laredo
Siempre muy bien vigilada
Pero con el contrabando
Pasan en la madrugada

Venían los contrabandistas
Procedentes de Galeana
Iban para Houston, Texas
Con carga de marihuana

Cuando pasaron la aduana
Los siguió la federal
Pero en lugar de pararse
Comenzaron a tirar

El federal reportó
Por radio a sus compañeros
Que sigan la camioneta
Que va con rumbo a Laredo

Ese día en la madrugada
Los gallos tristes cantaron
Un policía estaba muerto
Los de la troca escaparon

Otro agente federal
Que muere en la carretera
Por unos contrabandistas
Miembros de larga cadena",True,12,8,1970
Ramon Ayala,Mujer Paseada,1976,Contrabando Y Traicion,"Salieron de San Isidro, procedentes de Tijuana
Traían las llantas del carro, repletas de hierba mala
Eran Emilio Varela, y Camelia, la texana

Al pasar por San Clemente, los paró la migración
Les pidió sus documentos, les dijo ""¿de dónde son?""
Ella era de San Antonio, una hembra de corazón

Cuando una hembra quiere a un hombre, por él puede dar la vida
Pero hay que tener cuidado, si esa hembra se siente herida
La tración y el contrabando, dos cosas, incompartidas

A Los Ángeles llegaron, y a Hollywood se pasaron
En un callejón oscuro, las cuatro llantas cambiaron
Y ahí entregaron la hierba, y al momento, les pagaron

Emilio dice a Camelia, ""Hoy te das por despedida
Con la parte que te toca, ya puedes rehacer tu vida
Yo me voy pa' San Francisco, con la dueña, de mi vida""

Sonaron siete balazos, Camelia Emilio mataba
La policía solo halló, una pistola tirada
Del dinero y de Camelia, Nunca más se, supo nada",True,12,8,1970
Los Alegres De Teran,Recordando A Los Valientes,1977,Juan Charrasqueado,"Voy a cantarles un corrido muy mentado
Lo que ha pasado alla en la hacienda de la flor
La triste historia de un ranchero enamorado
Que fue borracho, parrandero y jugador
Juan se llamaba y lo apodaban Charrasqueado
Era valiente y arriesgado en el amor
A las mujeres mas bonitas se llevaba
Y aquellos campos no dejaba ni una flor
Un dia domingo que se andaba emborrachando
A la cantina le corrieron a avisar
""Cuidate Juan que ya por ahi te andan buscando
Son muchos hombres no te vayan a matar""
No tuvo tiempo de montar en su caballo
Pistola en mano se la echaron de a monton
""Estoy borracho"" les gritaba ""y soy buen gallo""
Cuando una bala atravesó su corazón
Creció la milpa con la lluvia en el potrero
Y las palomas van volando al pedregar
Bonitos toros llevan hoy al matadero
Qué buen caballo va montando el caporal
Ya las campanas del santuario estan doblando
Todos los fieles se dirigen a rezar
Y por el cerro los rancheros van bajando
A un hombre muerto que lo llevan a enterrar
En una choza muy humilde llora un niño
Y las mujeres se aconsejan y se van
Mientras su madre lo consuela con cariño
Mirando al cielo llora y reza por su Juan
Aqui termino de cantar este corrido
De Juan ranchero, charrasqueado y burlador
Que se creyó de las mujeres consentido
Y fue borracho, parrandero y jugador",True,12,8,1970
Carlos Y Jose,Puro Norte,1976,Gloria Reyes,"Voy a cantar un corrido
Con permiso de las leyes
Miren lo que a sucedido
En el rancho los magueyes
Mataron a José Alfredo
Y también a Gloria Reyes
El día primero de mayo
Por ahi platita la gente
Había una fiesta en el rancho
Que organizaba valente
De todo aquello era el dueño
Y de Gloria pretendiente
Gloria tenia su novio
José Alfredo se llamaba
Como era la mas bonita
Valente la cortejaba
Y aveces con su dinero
Hasta comprarla trataba
José Alfredo era valiente
Valente ya lo sabia
Como le tenia miedo
Mando traer la policía
Para que lo desarmaran
Y matarlo a sangre fría
Cuando Gloria se dio cuenta
Que a su novio desarmaron
Corrió a donde se encontraba
Cinco balazos sonaron
Y solo dieron al banco
Dos cuerpos atravesaron
Ya con esta me despido
No olviden lo de magueyes
Donde murió José Alfredo
Y su novia Gloria Reyes
Valente ya esta en la cárcel
Donde lo juzgan las leyes",True,12,6,1970
Antonio Aguilar,Corridos De Caballos Famosos,1972,Caballo Alazan Lucero,"Caballo alazán lucero
Que por ligero, qué bueno fuiste
Ganaste muchas careras
Yo bien recuerdo, nuca perdiste

Jamás tuviste derrota
De costa a costa, no fue mentira
Hasta que llego esa yegua
Por quien perdieras, hasta la vida

Sus ojos también oscuros
Clavo en los tuyos, como diciendo
""Que en esa quinientas varas, tú la dejaras
Llegar primero""

Lo tengo muy bien presente
Toda la gente por ti apostaba
Y tú dueño muy seguro
Su gran fortuna, se la jugaba

Al salir de partidero
Vi que la yegua, casi volaba
Y tú sin correr ligero
Dándole tiempo a que te ganara

Caballo alazán lucero
Cual caballero con una dama
La fortuna de tu dueño
Por cuerpo y medio, quedo en la nada

Ay, amigos, no solamente hombres y mujeres
También entre caballos y yeguas

Tu dueño desesperado
Echando mano a su pistola
""Si todo me lo han ganado
Este caballo solo me sobra""

Y no dando tiempo a nada
Con cinco balas, rodaste herido
Caíste junta a la yegua
Tú que por ella, habías perdido

Moriste viendo a la yegua
Como desciendo: ""está usted servida"", ¡ingrata!
Caballo alazán lucero
Hoy tu recuerdo, no se me olvida",True,6,5,1970
José Alfredo Jiménez,"Con La Muerte Entre Los Puños ""El Boxeador"" / Las Botas De Charro ""Amor Desde Niños""",1977,"Con La Muerte Entre Los Puños ""El Boxeador""","Nació cerca del potrero, donde no había ni un caballo
Recibió la luz del cielo con relámpagos y rayos
Él no conoció la escuela, donde fueron sus hermanos
Porque él ya tenía la fuerza en el puño de sus manos

Un hermano de su padre, boxeador ya retirado
Le regaló el par de guantes con los que él había ganado
Y no le quedaron grandes, cuando tumbó al Diablo Vega
El campeón de todo el barrio

Por el Campeonato Mundial de los pesos Gallo
Pelearán 15 rounds, en esta esquina
De 53 kilos 50 gramos el actual Campeón Mundial

Llegó a ser campeón del mundo, no había quien se le enfrentara
Hasta que llegó un valiente y peleó en Guadalajara
Salió a ganar como siempre, desde la primer campana
Le pegó hasta que la muerte se le dibujó en la cara

Él lloró con la victoria y maldijo su destino
Porque conquistó la gloria pero se sintió asesino
Después aventó los guantes y se salió de las cuerdas
A buscar cualquier camino

Su atención, por favor, respetable público
Su atención, por favor
El vencedor de esta pelea es",True,5,5,1970
Antonio Aguilar,Corridos De Caballos Famosos,1972,Adios Al As De Oros,"Ay el corrido a mi caballo el As de Oros
Cuando se lo llevaron despues vino la desgracia, ajay
Mi caballo

Adiós caballo dorado
Te vas a tierras lejanas
Me dejas desconsolado
Y de llorar me dan ganas

Tu mas tristeza penar
Porque a tu patria la extrañas
El conservar al amigo
En el hombre es lo primero

Y México fue testigo
Que fuiste mi compañero
Con elogios te bendigo
Hoy que vas al extranjero

Adiós caballos dorado
El que conmigo se crio
Cuando tenia los cinco años
Ángel Peralta se lo llevo

Ay señores que tristeza
En la plaza de alicante España
El 26 de Septiembre de 1965
Un cárdeno de Pablo Romero
Llamado Colillero mato a mi caballo
El As de Oros, Ángel lloro
Y yo también llore, ay

A ti te admira la gente
Porque hablar solo te falta
En los peligros valiente
Por eso mi alma te exalta

Espero seas obediente
Con mi hermano Ángel Peralta
Cuando en las plazas de toros
Resalten mas tu figura

Debes recordar As de Oros
Que hay que atacar con bravura
Las ovaciones son coros
Del triunfo y de la amargura

Parece que estoy mirando
Ese buque de vapor
Y al As de Oros relinchando
Y yo cantando de dolor",True,6,4,1970
Antonio Aguilar,Corridos De Caballos Famosos,1972,El Patas Blancas,"Caballo de patas blancas
Con herraduras de acero
Hoy vas a brincar las trancas
Antes que salga el lucero

Y vas a llevar en ancas
A la mujer que yo quiero
(A la mujer que yo quiero)

La gente por donde quiera
Ya saben que soy matrero
Y traigo en mi carrillera
Cincuenta balas de acero

Para llevarme a mi prieta
En mi caballo lucero
(En mi caballo lucero)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)

Yo sé que me están buscando
Con ansia desesperada
También yo me estoy quemando
Por conocer tu manada

Y verlos agonizando
Comiendo sangre empolvada
(Comiendo sangre empolvada)

Por ahí dicen que la muerte
Me anda siguiendo los pasos
Y yo digo que la suerte
Me ha de llevar a tus brazos

Entonces podré besarte
Aunque me den de balazo
(Aunque me den de balazo)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)",True,6,4,1970
Vicente Fernàndez,¡Arriba Huentitàn!,1972,El Palenque,"Traigo un gallo colorado
Que jamás se me ha rajado
En el ruedo del palenque
En la ferias que ha peleado
Muchos gallos afamados
Han perdido lo valiente
La medida en la navaja
Pa' mi gallo nunca es nada
Se la juega como quiera
Yo le apuesto hasta la vida
Si se trata de jugarla
Me la rifo con cualquiera
Las carreras de caballos
Y los naipes de colores
Para mí son pura vida
Y el amor que a mí me quiera
Debe ser sin pretensiones
Pa' que esté de mi medida
Para gallos mi Jalisco
Mi mero Guadalajara
Les pregunto a los señores
Los que son apostadores
Cuando ponen a su gallo
Y si quieren les apuesto
Mi dinero, y mi pistola
Mi montura y mi caballo
Las carreras de caballos
Y los naipes de colores
Para mí son pura vida
Y el amor que a mí me quiera
Debe ser sin pretensiones
Pa' que este de mi medida",True,0,4,1970
