Artista,Cancion,Palabra,Contexto
Grupo Laberinto,Corrido De Los Perez,dinero,... caballos y perdieron su dinero fue don domingo de ...
Grupo Laberinto,Corrido De Los Perez,balazos,... y a los primeros balazos fue el primero que ...
Grupo Laberinto,Corrido De Los Perez,gallo,... hablan por derecho otro gallo les cantara isidro cayó ...
Grupo Laberinto,Clave 7,federales,... la loma estaban 100 federales preguntando por pedrito támbien ...
Grupo Laberinto,Clave 7,dinero,... agente que le pidiera dinero 20 millones era el ...
Grupo Laberinto,Clave 7,millones,... le pidiera dinero 20 millones era el precio de ...
Grupo Laberinto,Clave 7,dinero,... inolvidable no rola tanto dinero y unos agentes traidores ...
Grupo Laberinto,Clave 7,carro,... agentes traidores ahora estrenan carro nuevo y un hombre ...
Grupo Laberinto,Clave 7,miedo,... no duerme de puro miedo oiga señor comandante aquí ...
Grupo Laberinto,Clave 7,comandante,... puro miedo oiga señor comandante aquí lo llevo en ...
Grupo Laberinto,Clave 7,dinero,... que los deslumbra el dinero ya murió el león ...
Grupo Laberinto,Clave 7,sierra,... el león de la sierra vengan a quitarle el ...
Grupo Laberinto,Clave 7,ley,... valle de culiacán ninguna ley del gobierno mi nombre ...
Grupo Laberinto,Clave 7,gobierno,... culiacán ninguna ley del gobierno mi nombre podrán cambiar ...
Grupo Laberinto,Venganza Cumplida,compa,... ahí le va compa échele se ven huellas ...
Grupo Laberinto,Venganza Cumplida,caballo,... ven huellas de un caballo sobre la hierba mojada ...
Grupo Laberinto,Venganza Cumplida,hierba,... un caballo sobre la hierba mojada y un hombre ...
Grupo Laberinto,Venganza Cumplida,mal,... llegó y la encontró mal herida y antes de ...
Grupo Laberinto,Venganza Cumplida,caballo,... le crecía y el caballo se cansaba de caminar ...
Grupo Laberinto,Venganza Cumplida,sierra,... se internó en la sierra ya cumplida su venganza ...
Grupo Laberinto,La Yegua Cebruna,frente,... una estrella en la frente que brillaba con la ...
Grupo Laberinto,La Yegua Cebruna,dinero,... nobillos y yeguas brutas dinero el que le llevara ...
Grupo Laberinto,El Comandante,contrabando,... sonoyta lo pasó de contrabando entre ropa y cosas ...
Grupo Laberinto,El Comandante,caballo,... ah qué historia de caballo parece una fantasía pero ...
Grupo Laberinto,El Comandante,dólares,... su hijo 10 mil dólares pagó aunque no tenía ...
Grupo Laberinto,El Comandante,comandante,... registro le dicen el comandante porque se cree las ...
Chalino Sánchez,El Crimen De Culiacan,corrido,... les cantaré este corrido a dos hombres que ...
Chalino Sánchez,El Crimen De Culiacan,hombres,... este corrido a dos hombres que mataron sin tenerles ...
Chalino Sánchez,El Crimen De Culiacan,carro,... ya muertos con un carro por encima les pasaron ...
Chalino Sánchez,El Crimen De Culiacan,matar,... que los iban a matar francisco lópez tenía unas ...
Chalino Sánchez,El Crimen De Culiacan,policía,... momentos después llegaba la policía con la banda sinaloense ...
Chalino Sánchez,El Crimen De Culiacan,banda,... la policía con la banda sinaloense los fueron a ...
Chalino Sánchez,El Crimen De Culiacan,corrido,... lo digo por el corrido no se les vaya ...
Ignacio López Tarso,Despierten Ya Mexicanos,hombres,... quedando que a sus hombres más valientes todos los ...
Ignacio López Tarso,Despierten Ya Mexicanos,valientes,... a sus hombres más valientes todos los van traicionando ...
Ignacio López Tarso,Despierten Ya Mexicanos,jefe,... traicionando dónde está el jefe zapata que su espada ...
Ignacio López Tarso,Despierten Ya Mexicanos,corrido,... vamos aquí termina el corrido despierten ya mexicanos ...
Los Tucanes De Tijuana,Temporada En La Sierra,sierra,... la navego en la sierra todita la temporada sé ...
Los Tucanes De Tijuana,Temporada En La Sierra,hierba,... la vida regando la hierba mala pero se siente ...
Los Tucanes De Tijuana,Temporada En La Sierra,hierba,... honrado varios plantíos de hierba tengo por toda la ...
Los Tucanes De Tijuana,Temporada En La Sierra,sierra,... tengo por toda la sierra unos fumiga el boludo ...
Los Tucanes De Tijuana,Temporada En La Sierra,dólares,... cuando miro las colas dólares se me revelan varias ...
Los Tucanes De Tijuana,Temporada En La Sierra,compa,... don tino y el compa augustín y arriba toda ...
Los Tucanes De Tijuana,Temporada En La Sierra,gente,... y arriba toda la gente de la sierra esa ...
Los Tucanes De Tijuana,Temporada En La Sierra,sierra,... la gente de la sierra esa gente de la ...
Los Tucanes De Tijuana,Temporada En La Sierra,gente,... de la sierra esa gente de la sierra no ...
Los Tucanes De Tijuana,Temporada En La Sierra,sierra,... esa gente de la sierra no entiende ni entenderá ...
Los Tucanes De Tijuana,Temporada En La Sierra,dólares,... lo dice paulino los dólares y la hierba son ...
