artist,song,year,lustro,verso_idx,verso_texto,score_AR,score_MO,score_DI,score_PO,score_NA,score_GO,pred_AR,confianza_AR,pred_MO,confianza_MO,pred_DI,confianza_DI,pred_PO,confianza_PO,pred_NA,confianza_NA
Grupo Laberinto,Corrido De Los Perez,1996,0,12,Y perdieron su dinero,0,0,1,0,0,0,0,0.3803480594431229,0,0.3636090530868494,1,0.5290923104056693,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Corrido De Los Perez,1996,0,15,Y a los primeros balazos,1,0,0,0,0,0,1,0.5788120198877884,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Corrido De Los Perez,1996,0,24,Otro gallo les cantara,0,0,0,0,1,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,1,0.5378892643889288
Grupo Laberinto,Clave 7,1996,0,1,estaban 100 federales,0,0,0,0,0,1,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Clave 7,1996,0,11,Clave 7 es la consigna,0,0,0,1,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Grupo Laberinto,Clave 7,1996,0,18,que le pidiera dinero,0,0,1,0,0,0,0,0.3803480594431229,0,0.3636090530868494,1,0.5290923104056693,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Clave 7,1996,0,19,20 millones era el precio,0,0,1,0,0,0,0,0.3803480594431229,0,0.3636090530868494,1,0.5290923104056693,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Clave 7,1996,0,29,no rola tanto dinero,0,0,1,0,0,0,0,0.3803480594431229,0,0.3636090530868494,1,0.5290923104056693,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Clave 7,1996,0,31,ahora estrenan carro nuevo,0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Clave 7,1996,0,34,Oiga señor comandante,0,0,0,2,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,0,0.25,0,0.3403122467607918
Grupo Laberinto,Clave 7,1996,0,40,Mis armas no las entrego,1,0,0,0,0,0,1,0.5788120198877884,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Clave 7,1996,0,43,que los deslumbra el dinero,0,0,1,0,0,0,0,0.3803480594431229,0,0.3636090530868494,1,0.5290923104056693,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Clave 7,1996,0,44,ya murió el León de la sierra,0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Clave 7,1996,0,48,ninguna ley del gobierno,0,0,0,0,0,2,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Pescadores De Ensenada,1996,0,4,muerte en el mar,1,0,0,0,0,0,1,0.5788120198877884,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Venganza Cumplida,1996,0,1,Se ven huellas de un caballo,0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Venganza Cumplida,1996,0,2,Sobre la hierba mojada,0,0,0,0,1,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,1,0.5378892643889288
Grupo Laberinto,Venganza Cumplida,1996,0,17,Y el caballo se cansaba,0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,Venganza Cumplida,1996,0,27,Luego se internó en la sierra,0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,La Yegua Cebruna,1996,0,11,Ese señor sí jugaba,0,0,0,1,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Grupo Laberinto,La Yegua Cebruna,1996,0,13,Dinero el que le llevara,0,0,1,0,0,0,0,0.3803480594431229,0,0.3636090530868494,1,0.5290923104056693,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,El Comandante,1996,0,7,Lo pasó de contrabando,0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,El Comandante,1996,0,9,"Ah, qué historia de caballo",0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,El Comandante,1996,0,16,10 mil dólares pagó,0,0,1,0,0,0,0,0.3803480594431229,0,0.3636090530868494,1,0.5290923104056693,0,0.3971663629380304,0,0.3403122467607918
Grupo Laberinto,El Comandante,1996,0,18,Le dicen El Comandante,0,0,0,1,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Chalino Sánchez,El Crimen De Culiacan,1996,0,1,A dos hombres que mataron,0,0,0,1,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Chalino Sánchez,El Crimen De Culiacan,1996,0,4,"Y ya muertos, con un carro por encima les pasaron",0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Chalino Sánchez,El Crimen De Culiacan,1996,0,9,Ellos no se imaginaban que los iban a matar,1,0,0,0,0,0,1,0.5788120198877884,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Chalino Sánchez,El Crimen De Culiacan,1996,0,15,Y unos momentos después llegaba la policía,0,0,0,0,0,1,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Chalino Sánchez,El Crimen De Culiacan,1996,0,16,Con la banda sinaloense los fueron a sepultar,0,0,0,1,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Ignacio López Tarso,Despierten Ya Mexicanos,1996,0,7,Que a sus hombres más valientes todos los van traicionando,0,0,0,1,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Ignacio López Tarso,Despierten Ya Mexicanos,1996,0,8,¿Dónde está el jefe Zapata que su espada ya no brilla?,0,0,0,1,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Los Tucanes De Tijuana,Temporada En La Sierra,1996,0,0,Me la navego en la sierra,0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Los Tucanes De Tijuana,Temporada En La Sierra,1996,0,3,Regando la hierba mala,0,0,0,0,1,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,1,0.5378892643889288
Los Tucanes De Tijuana,Temporada En La Sierra,1996,0,12,Varios plantíos de hierba,0,0,0,0,1,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,1,0.5378892643889288
Los Tucanes De Tijuana,Temporada En La Sierra,1996,0,13,Tengo por toda la sierra,0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Los Tucanes De Tijuana,Temporada En La Sierra,1996,0,17,Dólares se me revelan,0,0,1,0,0,0,0,0.3803480594431229,0,0.3636090530868494,1,0.5290923104056693,0,0.3971663629380304,0,0.3403122467607918
Los Tucanes De Tijuana,Temporada En La Sierra,1996,0,19,Los guachos por el camino,0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Los Tucanes De Tijuana,Temporada En La Sierra,1996,0,26,Y arriba toda la gente de la sierra,0,1,0,1,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Los Tucanes De Tijuana,Temporada En La Sierra,1996,0,27,Esa gente de la sierra,0,1,0,1,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Los Tucanes De Tijuana,Temporada En La Sierra,1996,0,41,Los dólares y la hierba,0,0,1,0,1,0,0,0.3803480594431229,0,0.3636090530868494,1,0.5290923104056693,0,0.3971663629380304,1,0.5378892643889288
Los Tucanes De Tijuana,Temporada En La Sierra,1996,0,43,La sierra es una fortuna,0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Los Tucanes De Tijuana,Clave Nueva,1996,0,0,Ya descubrieron mi clave pero no me an agarado,0,0,0,1,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Los Tucanes De Tijuana,Clave Nueva,1996,0,1,Matenlo con todo y gente mil veces an ordenado,0,0,0,1,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Los Tucanes De Tijuana,Clave Nueva,1996,0,8,Ordenes son matar ya se los e comprobado,1,0,0,0,0,0,1,0.5788120198877884,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Los Tucanes De Tijuana,Clave Nueva,1996,0,10,Yo sigo vendiedo polvo nunca e conosido el miedo,0,0,0,0,1,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,1,0.5378892643889288
Los Tucanes De Tijuana,Clave Nueva,1996,0,11,Como e repartido kilos aqui y en el extranjero,0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Los Tucanes De Tijuana,Clave Nueva,1996,0,12,Como amigo soy amigo como galan soy un gallo,0,0,0,0,1,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,1,0.5378892643889288
Los Tucanes De Tijuana,Clave Nueva,1996,0,15,La muerte a mi no me asusta todos vamos a morir,1,0,0,0,0,0,1,0.5788120198877884,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Los Tucanes De Tijuana,Clave Nueva,1996,0,17,Primo en el carro esta un kilo traigalo pa repartir,0,2,0,0,1,0,0,0.3803480594431229,0,0.25,0,0.3304446533913292,0,0.3971663629380304,1,0.5378892643889288
Los Tucanes De Tijuana,Clave Nueva,1996,0,19,Ya descubrieron mi clave pero mi clave primera van a,0,0,0,1,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Los Tucanes De Tijuana,Clave Nueva,1996,0,20,Pelarme los dientes ya tengo mi clave nueva,0,0,0,1,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Los Tucanes De Tijuana,El Centenario,1996,0,0,Si eres pobre te humilla la gente,0,0,0,1,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
Los Tucanes De Tijuana,El Centenario,1996,0,4,Ahora tiene dinero de sobra,0,0,1,0,0,0,0,0.3803480594431229,0,0.3636090530868494,1,0.5290923104056693,0,0.3971663629380304,0,0.3403122467607918
Los Tucanes De Tijuana,El Centenario,1996,0,10,Nomás porque trae carro del año,0,1,0,0,0,0,0,0.3803480594431229,1,0.5662592762585903,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Los Tucanes De Tijuana,El Centenario,1996,0,12,Lo persigue el gobierno gabacho,0,0,0,0,0,1,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,0,0.3971663629380304,0,0.3403122467607918
Los Tucanes De Tijuana,El Centenario,1996,0,24,Con la mafia se gana dinero,0,0,1,0,0,0,0,0.3803480594431229,0,0.3636090530868494,1,0.5290923104056693,0,0.3971663629380304,0,0.3403122467607918
Los Tucanes De Tijuana,El Centenario,1996,0,29,Con las leyes o con el patrón,0,0,0,1,0,0,0,0.3803480594431229,0,0.3636090530868494,0,0.3304446533913292,1,0.5909741664542535,0,0.3403122467607918
