artist,song
Grupo Laberinto,Corrido De Los Perez
Grupo Laberinto,Clave 7
Grupo Laberinto,Pescadores De Ensenada
Grupo Laberinto,Venganza Cumplida
Grupo Laberinto,Zenobio Montero -Sucedio En El Aguaje-
Grupo Laberinto,La Rubia Del Moño Negro
Grupo Laberinto,La Yegua Cebruna
Grupo Laberinto,El Comandante
Grupo Laberinto,No Vaya A Ser
Grupo Laberinto,Cuestion Olvidada
Grupo Laberinto,Llorar Entre Sombras
Chalino Sánchez,El Crimen De Culiacan
Chalino Sánchez,Florita Del Alma
Ignacio López Tarso,Despierten Ya Mexicanos
Juan Gabriel,Ya Te Perdí
Juan Gabriel,No Te Vaya A Suceder
Juan Gabriel,Tu Abandono
Juan Gabriel,Mia Un Año
Juan Gabriel,Tenias Que Ser Tan Cruel
Juan Gabriel,Sólo Tu Y Yo
Juan Gabriel,Cada Quien Su Camino
Juan Gabriel,Que Te Vas
Juan Gabriel,Hasta Mañana
Juan Gabriel,Yo Te Perdono
Miguel Y Miguel,El Cisne
Miguel Y Miguel,El Aguijón
Los Tucanes De Tijuana,Temporada En La Sierra
Los Tucanes De Tijuana,Clave Nueva
Los Tucanes De Tijuana,El Centenario
Los Tucanes De Tijuana,La Pista Secreta
Los Tucanes De Tijuana,Frontera Roja
Los Tucanes De Tijuana,El Poblano
Los Tucanes De Tijuana,Manuel Caro Carrillo
Los Tucanes De Tijuana,La Recompensa
Los Tucanes De Tijuana,El Charro De Culiacán
Los Tucanes De Tijuana,Tito Jiménez
Los Tucanes De Tijuana,Clave Privada
Los Tucanes De Tijuana,El Chapo Guzmán
Los Tucanes De Tijuana,Empinando El Codo
Los Invasores De Nuevo León,El Último Cartucho
Los Invasores De Nuevo León,Como Florecita
Los Invasores De Nuevo León,Aguanta Corazón
Los Invasores De Nuevo León,Derrotado Corazón
Los Invasores De Nuevo León,Adiós Querida
Los Invasores De Nuevo León,La Novia De Mi Hermano
Los Invasores De Nuevo León,Mi Casa Nueva
Los Invasores De Nuevo León,Homenaje A Carlos Y José
Los Invasores De Nuevo León,Nada Contigo
Los Invasores De Nuevo Leon,Preso Olvidado
Los Invasores De Nuevo Leon,El Baron Del Golfo
Los Invasores De Nuevo Leon,El Reten De Las Norias
Los Invasores De Nuevo Leon,Miguel Perez
Los Invasores De Nuevo Leon,Veneno Blanco
Los Invasores De Nuevo Leon,El Güero Palma
Los Invasores De Nuevo Leon,Viejo Arrepentido
Los Invasores De Nuevo Leon,El Profugo De Sonora
Los Invasores De Nuevo Leon,La Madeja
Los Invasores De Nuevo Leon,Recordando A Mi Pueblo
Geru Y Su Legión 7,Morenita De Ojos Negros
Geru Y Su Legión 7,Mujer De Piedra 
Geru Y Su Legión 7,Vete
Grupo Marrano,Se Acabaron Mis Monedas
Grupo Marrano,El Vagino Dependiente
Grupo Marrano,Advertencia De Restriccion
Grupo Marrano,¿Cuando Seré Yo?
Grupo Marrano,Asesino A Sentones
Grupo Marrano,La Dama Del Bastón
Grupo Marrano,Huevos Rasurados
Grupo Marrano,"Mujer, Casa Y Culo"
