artist,album,year,song,lyrics,conteo_narco,es_narco_fuerte,decada,lyrics_limpias,subgenero_ia
Mariachi Vargas de Tecalitlán,El Mariachi Vargas de Tecalitlán,1976,El Dos Negro,"MI historia es una ciencia
Lo que canto son historias
Historias que han pasado
Yo hoy las guardo en mi conciencia
Ponganse hacer memoria
Les dara ataque de histeria
Eh dos tres
Recuerden lo que esta escrito
Si estoy sonando en españa
Es gracias al publico
Y gracias ami empeño
Enlace entre titanes
Del acento somos dueños
Lo grito con orgullo
Es obregon sonora
Viva mexico!!! vengo ah continuar
Lo que un dia empezamos
Somos los que encajamos
La vieja espada en la roca
Despues de tanto tiempo aqui
Esta lo que esperaban
Nuestras ideas fluyen.estilos destrullen huyen
De este adbersario
Como enemigos varios!
A los contrarios!
Estilos unicos sonando en sus barrios
Soy capaz de llenar un mismisimo ecenario
Cantando mis oraciones
Sonora trajo el credo
Quien no trae comparaciones
De mis canciones
Te arrepentiras de tus acciones
Mis sonido te infecta cual veneno de inyecciones
Dia ah dia esucho falsos ignorantes que segun ami me tiran
Ande rian digan todo lo que puedan
Escriban en contra mia
Mi nombre es ivan diesiciete años de edad
Diesiciete años viviendo dentro de la realidad
Diesiciete años que tengo y dime quin!!! quien?!!
Nadie me ah podido parar!! bien!!
Mirame halza frente asta mi vista
Difamame! alcabo callaras en pista
Mi musica ise un poco de raptematicas
Paranormal y auntentica simplemente este es unica
Para escuchar para cantar y echar mente ah volar
Y mientas tanto Mc's tontos traten de ganarme
Sonare en españa haci que traten de pararme
No quiero que como al papa me alaven
Solo quiero que escuchen
Y que vajen te saluden mientras
Oyes subes mi voz en tu altavoz estereo
Obregon sonara en dos tres el premio record
Representamos españa un hip hop real de mexico
Enlace entre titanes santaflow perfectos lexicos
ALFA ES mi nombre tengo un talento especifico
Presten atencion, escuchen veran que soy unico
Mi hip hop no es magico simplemente es sinsero
Si no les gusto lo que canto metanse este dedo
Voy con ritmo y con palabras.mientras madrid nos espera
Nos tomo distancia y tiempo para llegar hasta aya
Con mi vista hacia alfrente siempre grande admiracion
Con mi voz poetica mis ganas y el corazon canto
Porque quiero y puedo porque tengo especial don
Porque soy mejor que ayer porque soy mejor que hoy
Ahora llebo con fuerza el logotipo enlace entre titanes
Es mi club mi nuevo grupo con los pies en la tierra
Bien puestos y sin moverme.ago latir corazones
Y que piensen diferente, deverdad que no soy el mejor
En esto? pero intento, que el mensaje de mi musica siga
Siendo un ejemplo españa! mi musica con himno cantara
Mano derecha en pecho y la izquierda levantara
Tras el exito de esta cancion gritaran viva mexico!
Que vivan ellos que con sus perfectos lexicos
Tratare de lograr cosas que tu no lograstes
Tratare de hacer cosas que tu nunca isistes
Estare mas adelante de lo que estuvistes
Eh aqui el ejemplo pues ya lo vistes.

Bien vamos al lio.!
Y que mas da si yo vengo de madrid
Y si eh salido del puñetero infierno
Que mas da! si pongo tus nervios ah flow de piel
Oiganme jusgenme me eh colado en mexico por internet
Gozenme sientanme diganlo en la calle de españa llegue!
Y mi mision es conquistarle como mis antepasados mas con
Palabras
Sin sangre que esuchen mi voz de una vez y se queden con
Hambre
Y pidan mas y hagan ruido como un enjambre
Rulenme, pasanme ah todos sus contactos de messenger
Quieranme odienmen y si les ago sentir cosas
Vuelvanlo ah poner.
Como un dios azteca eh despertado de un letargo
Y en esta ocasion tan especial visto de largo,
No vine ah hacer amigos, vine a hacer fans
Os dare obras de caridad porque yo lo valgo
Yo soy aquel chico que quiso jugar con fuego
Estar por ensima del bien y el mal
Tocar el cielo, llamar la atencion
Como aire frio en el infierno
Venid hijos de puta el ave fenix alza el vuelo!!!,
Esto es lo que yo mejor se hacer
Y os quiero dar por el placer de dar esquisitez
Ah cualquier paladar, no gano un puto pezo con la musica
Y da igual tiempo al tiempo que todo se andara
Hago esto porque necesito saflar mi ser irracional
De ahi comunicar .Unir lo mistico
Y lo tecnologico en un mismo track
Y demostrar que soy el mas crak
Suelo soñar jamas en vano,
Ayer me soñe moviendo mazas desde un ecenario con las manos
Y se que pasara lo se siempre lo supe
Tendre mas adictos que la virgen de guadalupe
Y tu que? levanta el brazo y mirate
Tienes los pelos de punta y preguntas. por que?
No lo ves soy parecido ah cocaina
Cuantos de los que me oyes ponen tu piel de gallina?
No tengo disquera ni dinero por ahora
Solo traje un intencion que a tu emocion devora
Me alimento de sensaciones del voca ah voca
Me gano ala gente al dejar mi garganta rota!
No soy un español tipo! ni un rapero tipo!
Ahogaros en vuestra siempleza cutre estereotipos
Yo represento solo mi ego y lo flipo
Que os den por el culo ah los puretas del hip-hop
Puedo cantar un rock an droll!!
Vendir millones de copias, llenar estadios de euforia
Hijos de un chakal no es por dinero es por gloria
Con los hipocritas veres me limpio el nabo
Anti comerciales gana euros ah raulares
Los song dan pasta, los discos dan pasta
Royos hiipies falsos dan asco ya basta!
Yo sueño con exito brutal y no me escondo
La sinseridad me elevara o me hundira ondo!
Cantas para ti, te da igual que te escuchen
Pues no me mandes mas maquetas malas que aburren!
Soy un ereje por desir las cosas claras
España admiracion famosa por su inquisicion
Habladurias son envidias disfrasadaz
No tengo nada pero os puedo dar una leccion
Solo quiero ser libre como el viento
No temo alos Mc's le temo al tiempo .
Con 26 y tengo cara de chaval.eso es por que ya
Eh firmado un pacto con zatan.
Y tengo un plan cojer la pasta
Liarla tan gorda que todas me quieran matar
Simular mi muerte comprar mi libertad
Irme ah venezuela con jesus gil y 2pac

Gelipolleces ah parte lo tengo claro!
Alque no le guste que se aparte de mi lado
Quieres ser mi rival? vas ah acabar muy mal.
Crees poder ganar y mi huracan no eh desatado
Se que duele escucharme porque te das cuenta
Que soy el mejor de todos los hijos de putas
Que van de raperos usando el idioma español
Mi estilo te come tu ravia me pone tu sientes la
Seguridad en mi voz y por eso da igual
Que asumeis contra mi porque tengo el destino de
Ser ganador!",11,True,1970,historia ciencia canto son historias historias pasado guardo conciencia ponganse memoria dara ataque histeria recuerden escrito estoy sonando españa gracias publico gracias ami empeño enlace titanes acento somos dueños grito orgullo obregon sonora viva mexico vengo continuar dia empezamos somos encajamos vieja espada roca despues tanto tiempo aqui esperaban nuestras ideas fluyen estilos destrullen huyen adbersario enemigos varios contrarios estilos unicos sonando barrios capaz llenar mismisimo ecenario cantando oraciones sonora trajo credo trae comparaciones canciones arrepentiras acciones sonido infecta cual veneno inyecciones dia dia esucho falsos ignorantes segun ami tiran ande rian digan todo puedan escriban contra mia nombre ivan diesiciete años edad diesiciete años viviendo dentro realidad diesiciete años tengo dime quin nadie podido parar mirame halza frente asta vista difamame alcabo callaras pista musica ise poco raptematicas paranormal auntentica simplemente unica escuchar cantar echar mente volar mientas tanto mc s tontos traten ganarme sonare españa haci traten pararme quiero papa alaven quiero escuchen vajen saluden mientras oyes subes voz altavoz estereo obregon sonara premio record representamos españa hip hop real mexico enlace titanes santaflow perfectos lexicos alfa nombre tengo talento especifico presten atencion escuchen veran unico hip hop magico simplemente sinsero gusto canto metanse dedo ritmo palabras mientras madrid espera tomo distancia tiempo llegar aya vista hacia alfrente siempre grande admiracion voz poetica ganas corazon canto quiero puedo tengo especial don ayer ahora llebo fuerza logotipo enlace titanes club nuevo grupo pies tierra puestos moverme ago latir corazones piensen diferente deverdad intento mensaje musica siga siendo ejemplo españa musica himno cantara derecha pecho izquierda levantara tras exito cancion gritaran viva mexico vivan ellos perfectos lexicos tratare lograr cosas lograstes tratare cosas nunca isistes estare adelante estuvistes aqui ejemplo vistes lio vengo madrid salido puñetero infierno pongo nervios flow piel oiganme jusgenme colado mexico internet gozenme sientanme diganlo calle españa llegue mision conquistarle antepasados palabras sangre esuchen voz queden hambre pidan hagan ruido enjambre rulenme pasanme todos contactos messenger quieranme odienmen ago sentir cosas vuelvanlo poner dios azteca despertado letargo ocasion especial visto largo vine amigos vine fans os dare obras caridad valgo aquel chico quiso jugar fuego ensima mal tocar cielo llamar atencion aire frio infierno venid hijos puta ave fenix alza vuelo os quiero dar placer dar esquisitez cualquier paladar gano puto pezo musica igual tiempo tiempo todo andara hago necesito saflar ser irracional ahi comunicar unir mistico tecnologico mismo track demostrar crak suelo soñar jamas vano ayer soñe moviendo mazas ecenario manos pasara siempre supe tendre adictos virgen guadalupe levanta brazo mirate tienes pelos punta preguntas ves parecido cocaina cuantos oyes ponen piel gallina tengo disquera dinero ahora traje intencion emocion devora alimento sensaciones voca voca gano ala gente dejar garganta rota español tipo rapero tipo ahogaros vuestra siempleza cutre estereotipos represento ego flipo os den culo puretas hip hop puedo cantar rock an droll vendir millones copias llenar estadios euforia hijos chakal dinero gloria hipocritas veres limpio nabo anti comerciales gana euros raulares song dan pasta discos dan pasta royos hiipies falsos dan asco basta sueño exito brutal escondo sinseridad elevara hundira ondo cantas igual escuchen mandes maquetas malas aburren ereje desir cosas claras españa admiracion famosa inquisicion habladurias son envidias disfrasadaz tengo nada os puedo dar leccion quiero ser libre viento temo alos mc s temo tiempo tengo cara chaval firmado pacto zatan tengo plan cojer pasta liarla gorda todas quieran matar simular muerte comprar libertad irme venezuela jesus gil gelipolleces parte tengo claro alque guste aparte quieres ser rival acabar mal crees poder ganar huracan desatado duele escucharme das cuenta todos hijos putas raperos usando idioma español estilo come ravia pone sientes seguridad voz igual asumeis contra tengo destino ser ganador,7
Los Cadetes De Linares,Los Cadetes De Linares Y Sus Corridos,1976,Los Contrabandistas,"El día 22 de mayo
Del año '73
Se agarraron a balazos
Bandidos contra la ley

La carretera a Laredo
Siempre muy bien vigilada
Pero con el contrabando
Pasan en la madrugada

Venían los contrabandistas
Procedentes de Galeana
Iban para Houston, Texas
Con carga de marihuana

Cuando pasaron la aduana
Los siguió la federal
Pero en lugar de pararse
Comenzaron a tirar

El federal reportó
Por radio a sus compañeros
Que sigan la camioneta
Que va con rumbo a Laredo

Ese día en la madrugada
Los gallos tristes cantaron
Un policía estaba muerto
Los de la troca escaparon

Otro agente federal
Que muere en la carretera
Por unos contrabandistas
Miembros de larga cadena",8,True,1970,mayo año agarraron balazos bandidos contra ley carretera laredo siempre vigilada contrabando pasan madrugada venían contrabandistas procedentes galeana iban houston texas carga marihuana pasaron aduana siguió federal lugar pararse comenzaron tirar federal reportó radio compañeros sigan camioneta rumbo laredo madrugada gallos tristes cantaron policía estaba muerto troca escaparon otro agente federal muere carretera unos contrabandistas miembros larga cadena,13
Ramon Ayala,Mujer Paseada,1976,Contrabando Y Traicion,"Salieron de San Isidro, procedentes de Tijuana
Traían las llantas del carro, repletas de hierba mala
Eran Emilio Varela, y Camelia, la texana

Al pasar por San Clemente, los paró la migración
Les pidió sus documentos, les dijo ""¿de dónde son?""
Ella era de San Antonio, una hembra de corazón

Cuando una hembra quiere a un hombre, por él puede dar la vida
Pero hay que tener cuidado, si esa hembra se siente herida
La tración y el contrabando, dos cosas, incompartidas

A Los Ángeles llegaron, y a Hollywood se pasaron
En un callejón oscuro, las cuatro llantas cambiaron
Y ahí entregaron la hierba, y al momento, les pagaron

Emilio dice a Camelia, ""Hoy te das por despedida
Con la parte que te toca, ya puedes rehacer tu vida
Yo me voy pa' San Francisco, con la dueña, de mi vida""

Sonaron siete balazos, Camelia Emilio mataba
La policía solo halló, una pistola tirada
Del dinero y de Camelia, Nunca más se, supo nada",8,True,1970,salieron san isidro procedentes tijuana traían llantas carro repletas hierba mala eran emilio varela camelia texana pasar san clemente paró migración pidió documentos dónde son ella era san antonio hembra corazón hembra quiere hombre él dar vida tener cuidado esa hembra siente herida tración contrabando cosas incompartidas ángeles llegaron hollywood pasaron callejón oscuro cuatro llantas cambiaron entregaron hierba momento pagaron emilio camelia das despedida parte toca puedes rehacer vida san francisco dueña vida sonaron siete balazos camelia emilio mataba policía halló pistola tirada dinero camelia nunca supo nada,13
Los Alegres De Teran,Recordando A Los Valientes,1977,Juan Charrasqueado,"Voy a cantarles un corrido muy mentado
Lo que ha pasado alla en la hacienda de la flor
La triste historia de un ranchero enamorado
Que fue borracho, parrandero y jugador
Juan se llamaba y lo apodaban Charrasqueado
Era valiente y arriesgado en el amor
A las mujeres mas bonitas se llevaba
Y aquellos campos no dejaba ni una flor
Un dia domingo que se andaba emborrachando
A la cantina le corrieron a avisar
""Cuidate Juan que ya por ahi te andan buscando
Son muchos hombres no te vayan a matar""
No tuvo tiempo de montar en su caballo
Pistola en mano se la echaron de a monton
""Estoy borracho"" les gritaba ""y soy buen gallo""
Cuando una bala atravesó su corazón
Creció la milpa con la lluvia en el potrero
Y las palomas van volando al pedregar
Bonitos toros llevan hoy al matadero
Qué buen caballo va montando el caporal
Ya las campanas del santuario estan doblando
Todos los fieles se dirigen a rezar
Y por el cerro los rancheros van bajando
A un hombre muerto que lo llevan a enterrar
En una choza muy humilde llora un niño
Y las mujeres se aconsejan y se van
Mientras su madre lo consuela con cariño
Mirando al cielo llora y reza por su Juan
Aqui termino de cantar este corrido
De Juan ranchero, charrasqueado y burlador
Que se creyó de las mujeres consentido
Y fue borracho, parrandero y jugador",8,True,1970,cantarles corrido mentado pasado alla hacienda flor triste historia ranchero enamorado borracho parrandero jugador juan llamaba apodaban charrasqueado era valiente arriesgado amor mujeres bonitas llevaba aquellos campos dejaba flor dia domingo andaba emborrachando cantina corrieron avisar cuidate juan ahi andan buscando son muchos hombres vayan matar tuvo tiempo montar caballo pistola echaron monton estoy borracho gritaba buen gallo bala atravesó corazón creció milpa lluvia potrero palomas volando pedregar bonitos toros llevan matadero buen caballo montando caporal campanas santuario estan doblando todos fieles dirigen rezar cerro rancheros bajando hombre muerto llevan enterrar choza humilde llora niño mujeres aconsejan mientras madre consuela cariño mirando cielo llora reza juan aqui termino cantar corrido juan ranchero charrasqueado burlador creyó mujeres consentido borracho parrandero jugador,13
Carlos Y Jose,Puro Norte,1976,Gloria Reyes,"Voy a cantar un corrido
Con permiso de las leyes
Miren lo que a sucedido
En el rancho los magueyes
Mataron a José Alfredo
Y también a Gloria Reyes
El día primero de mayo
Por ahi platita la gente
Había una fiesta en el rancho
Que organizaba valente
De todo aquello era el dueño
Y de Gloria pretendiente
Gloria tenia su novio
José Alfredo se llamaba
Como era la mas bonita
Valente la cortejaba
Y aveces con su dinero
Hasta comprarla trataba
José Alfredo era valiente
Valente ya lo sabia
Como le tenia miedo
Mando traer la policía
Para que lo desarmaran
Y matarlo a sangre fría
Cuando Gloria se dio cuenta
Que a su novio desarmaron
Corrió a donde se encontraba
Cinco balazos sonaron
Y solo dieron al banco
Dos cuerpos atravesaron
Ya con esta me despido
No olviden lo de magueyes
Donde murió José Alfredo
Y su novia Gloria Reyes
Valente ya esta en la cárcel
Donde lo juzgan las leyes",6,True,1970,cantar corrido permiso leyes miren sucedido rancho magueyes mataron josé alfredo gloria reyes primero mayo ahi platita gente había fiesta rancho organizaba valente todo aquello era dueño gloria pretendiente gloria tenia novio josé alfredo llamaba era bonita valente cortejaba aveces dinero comprarla trataba josé alfredo era valiente valente sabia tenia miedo mando traer policía desarmaran matarlo sangre fría gloria dio cuenta novio desarmaron corrió encontraba cinco balazos sonaron dieron banco cuerpos atravesaron despido olviden magueyes murió josé alfredo novia gloria reyes valente cárcel juzgan leyes,13
Antonio Aguilar,Corridos De Caballos Famosos,1972,Caballo Alazan Lucero,"Caballo alazán lucero
Que por ligero, qué bueno fuiste
Ganaste muchas careras
Yo bien recuerdo, nuca perdiste

Jamás tuviste derrota
De costa a costa, no fue mentira
Hasta que llego esa yegua
Por quien perdieras, hasta la vida

Sus ojos también oscuros
Clavo en los tuyos, como diciendo
""Que en esa quinientas varas, tú la dejaras
Llegar primero""

Lo tengo muy bien presente
Toda la gente por ti apostaba
Y tú dueño muy seguro
Su gran fortuna, se la jugaba

Al salir de partidero
Vi que la yegua, casi volaba
Y tú sin correr ligero
Dándole tiempo a que te ganara

Caballo alazán lucero
Cual caballero con una dama
La fortuna de tu dueño
Por cuerpo y medio, quedo en la nada

Ay, amigos, no solamente hombres y mujeres
También entre caballos y yeguas

Tu dueño desesperado
Echando mano a su pistola
""Si todo me lo han ganado
Este caballo solo me sobra""

Y no dando tiempo a nada
Con cinco balas, rodaste herido
Caíste junta a la yegua
Tú que por ella, habías perdido

Moriste viendo a la yegua
Como desciendo: ""está usted servida"", ¡ingrata!
Caballo alazán lucero
Hoy tu recuerdo, no se me olvida",5,True,1970,caballo alazán lucero ligero bueno fuiste ganaste muchas careras recuerdo nuca perdiste jamás tuviste derrota costa costa mentira llego esa yegua perdieras vida ojos oscuros clavo tuyos diciendo esa quinientas varas dejaras llegar primero tengo presente toda gente apostaba dueño seguro gran fortuna jugaba salir partidero vi yegua casi volaba correr ligero dándole tiempo ganara caballo alazán lucero cual caballero dama fortuna dueño cuerpo medio quedo nada amigos solamente hombres mujeres caballos yeguas dueño desesperado echando pistola todo ganado caballo sobra dando tiempo nada cinco balas rodaste herido caíste junta yegua ella habías perdido moriste viendo yegua desciendo usted servida ingrata caballo alazán lucero recuerdo olvida,0
José Alfredo Jiménez,"Con La Muerte Entre Los Puños ""El Boxeador"" / Las Botas De Charro ""Amor Desde Niños""",1977,"Con La Muerte Entre Los Puños ""El Boxeador""","Nació cerca del potrero, donde no había ni un caballo
Recibió la luz del cielo con relámpagos y rayos
Él no conoció la escuela, donde fueron sus hermanos
Porque él ya tenía la fuerza en el puño de sus manos

Un hermano de su padre, boxeador ya retirado
Le regaló el par de guantes con los que él había ganado
Y no le quedaron grandes, cuando tumbó al Diablo Vega
El campeón de todo el barrio

Por el Campeonato Mundial de los pesos Gallo
Pelearán 15 rounds, en esta esquina
De 53 kilos 50 gramos el actual Campeón Mundial

Llegó a ser campeón del mundo, no había quien se le enfrentara
Hasta que llegó un valiente y peleó en Guadalajara
Salió a ganar como siempre, desde la primer campana
Le pegó hasta que la muerte se le dibujó en la cara

Él lloró con la victoria y maldijo su destino
Porque conquistó la gloria pero se sintió asesino
Después aventó los guantes y se salió de las cuerdas
A buscar cualquier camino

Su atención, por favor, respetable público
Su atención, por favor
El vencedor de esta pelea es",5,True,1970,nació cerca potrero había caballo recibió luz cielo relámpagos rayos él conoció escuela fueron hermanos él tenía fuerza puño manos hermano padre boxeador retirado regaló par guantes él había ganado quedaron grandes tumbó diablo vega campeón todo barrio campeonato mundial pesos gallo pelearán rounds esquina kilos gramos actual campeón mundial llegó ser campeón mundo había enfrentara llegó valiente peleó guadalajara salió ganar siempre primer campana pegó muerte dibujó cara él lloró victoria maldijo destino conquistó gloria sintió asesino después aventó guantes salió cuerdas buscar cualquier camino atención favor respetable público atención favor vencedor pelea,0
Federico Villa,El Pájaro Arriero / El Cara Parchada,1978,El Cara Parchada,"aunque parezca mentira escuchen este corrido
la triste historia de un hombre que maldecia su destino
le decian cara parchada por Dios que yo se los digo
siendo niño lo marcaron con un fierro muy candente
como animal lo dejaron llevaba en su mera frente
la marca de un cluel bandido que era el terror de la gente
se remonto a las montañas a madurar su venganza
queria matar al bandido que habia marcado su cara
la gente corria asustada al ver al cara parchada
un dia bajo a aquel poblado y a su madre fue a buscar
y al estar entre sus brazos se pusieron a llorar
madre de mi corazon hoy me vas a perdonar
al que me marco la cara yo lo tengo que matar
a todo el mundo he contado que nunca tuviste madre
ese hombre que andas buscando y que tu quieres matar
es tu verdadero padre y lo tienes que perdonar
perdonalo hijo querido ahora es un pobre anciano
y llorando arrepentido viene buscando tus brazos
lo que hizo en su juventud mi Dios se lo ha castigado
viendo a mi madre llorando lagrimas del corazon
y a mi padre arrodillado implorandome el perdon
nos abrazamos los tres luego me puse a llorar
porque conoci a mi padre lo tuve que perdonar",4,True,1970,parezca mentira escuchen corrido triste historia hombre maldecia destino decian cara parchada dios siendo niño marcaron fierro candente animal dejaron llevaba mera frente marca cluel bandido era terror gente remonto montañas madurar venganza queria matar bandido habia marcado cara gente corria asustada ver cara parchada dia bajo aquel poblado madre buscar brazos pusieron llorar madre corazon perdonar marco cara tengo matar todo mundo contado nunca tuviste madre hombre andas buscando quieres matar verdadero padre tienes perdonar perdonalo hijo querido ahora pobre anciano llorando arrepentido viene buscando brazos hizo juventud dios castigado viendo madre llorando lagrimas corazon padre arrodillado implorandome perdon abrazamos luego puse llorar conoci padre tuve perdonar,0
Los Cadetes De Linares,El Hijo Del Palenque,1978,El Hijo Del Palenque,"Yo he nacido bajo el techo de un palenque
Mientras mi padre jugaba un compromiso
Me cubrió ese mantón azul bendito
Que la Virgen de San Juan entregó a todos sus hijos

Yo he vivido mi vida en los palenques
Entre ferias y gallos de pelea
Fue mi padre un gallero muy valiente
Y mi madre también fue una hermosa caponera

Soy, por eso, el hijo del palenque
Y vivir entre los gallos me fascina
A lo macho, le pido yo a la gente
Que si muero en un palenque, de favor
Que me sepulte en una esquina

Tinta roja que corre por mis venas
Que se usó para hacer este corrido
Me perdonan si es que está mal escrito
También es que se escribió con plumas de una gallo fino

En amores y en gallos no he perdido
Y también me gusta la bravata
Alguien dijo: ""Jalisco nunca pierde""
Y cuando esto le sucede, cuídense
Porque al último arrebata",4,True,1970,nacido bajo techo palenque mientras padre jugaba compromiso cubrió mantón azul bendito virgen san juan entregó todos hijos vivido vida palenques ferias gallos pelea padre gallero valiente madre hermosa caponera hijo palenque vivir gallos fascina macho pido gente muero palenque favor sepulte esquina tinta roja corre venas usó corrido perdonan mal escrito escribió plumas gallo fino amores gallos perdido gusta bravata alguien jalisco nunca pierde sucede cuídense último arrebata,0
Antonio Aguilar,Corridos De Caballos Famosos,1972,Adios Al As De Oros,"Ay el corrido a mi caballo el As de Oros
Cuando se lo llevaron despues vino la desgracia, ajay
Mi caballo

Adiós caballo dorado
Te vas a tierras lejanas
Me dejas desconsolado
Y de llorar me dan ganas

Tu mas tristeza penar
Porque a tu patria la extrañas
El conservar al amigo
En el hombre es lo primero

Y México fue testigo
Que fuiste mi compañero
Con elogios te bendigo
Hoy que vas al extranjero

Adiós caballos dorado
El que conmigo se crio
Cuando tenia los cinco años
Ángel Peralta se lo llevo

Ay señores que tristeza
En la plaza de alicante España
El 26 de Septiembre de 1965
Un cárdeno de Pablo Romero
Llamado Colillero mato a mi caballo
El As de Oros, Ángel lloro
Y yo también llore, ay

A ti te admira la gente
Porque hablar solo te falta
En los peligros valiente
Por eso mi alma te exalta

Espero seas obediente
Con mi hermano Ángel Peralta
Cuando en las plazas de toros
Resalten mas tu figura

Debes recordar As de Oros
Que hay que atacar con bravura
Las ovaciones son coros
Del triunfo y de la amargura

Parece que estoy mirando
Ese buque de vapor
Y al As de Oros relinchando
Y yo cantando de dolor",4,True,1970,corrido caballo as oros llevaron despues vino desgracia ajay caballo caballo dorado tierras lejanas dejas desconsolado llorar dan ganas tristeza penar patria extrañas conservar amigo hombre primero méxico testigo fuiste compañero elogios bendigo extranjero caballos dorado conmigo crio tenia cinco años ángel peralta llevo señores tristeza plaza alicante españa septiembre cárdeno pablo romero llamado colillero mato caballo as oros ángel lloro llore admira gente hablar falta peligros valiente alma exalta espero seas obediente hermano ángel peralta plazas toros resalten figura debes recordar as oros atacar bravura ovaciones son coros triunfo amargura parece estoy mirando buque vapor as oros relinchando cantando dolor,0
