style,year,artist,title,discogs_id
Corrido,1970,Los Caporales Del Norte,Famosos Corridos De La Revolución,15366833
Corrido,1970,Los Caporales Del Norte,El Caballo Y Sus Corridos,33013059
Corrido,1970,Los Camperos De Allende,Cozumel / LaTomacita,37031262
Corrido,1970,Francisco Charro Avitia*,Se Me Hizo Facil / Ya Estas Sembrado Agustin,11816476
Corrido,1970,Los Hnos. Samperio Y Antonio Bribiesca,Revolucion Mexicana,4383634
Corrido,1970,El Charro Avitia*,El Charro Avitia A Rienda Suelta,7754438
Corrido,1970,Gerardo Reyes,Nudo Ciego,12624850
Corrido,1970,Los Camperos De Allende,Cozumnel,12629280
Corrido,1970,Trio Los Pingüinos*,Que Voces...Que Guitarras...Que Melodias,28321738
Corrido,1970,Antonio Aguilar*,Ya viene amaneciendo,10486147
Corrido,1970,Enrique Samaniego (2),El Tamborazo Zacatecano De Enrique Samaniego,33013548
Corrido,1970,Irma Serrano,La Tumba De Villa / Prenda Del Alma,14964664
Corrido,1970,Los Caporales Del Norte,¡Ajua!,28247791
Corrido,1970,Charro Avitia*,Llego Borracho El Borracho,23773778
Corrido,1970,Lupe Y Polo,Me Ciaste Del Cielo,10433052
Corrido,1970,Simplemente Daniel,Soy De Puro Nuevo Leon,13081852
Corrido,1970,Massiel Con El Mariachi Oro Y Plata,Massiel En Mexico,12136925
Corrido,1970,Laura Fierro Con El Mariachi Insurgente,Dime Si Vas A Querer / No Me Quemes,11828584
Corrido,1970,Dueto Arrullo,La Paloma,30654751
Corrido,1970,Vicente Fernández*,Ni En Defensa Propia,27205803
Corrido,1970,Grupo San Antonio,¡ Que Chulos Ojos !,30128459
Corrido,1970,Vicente Fernández*,Ni En Defensa Propia,27168774
Corrido,1970,Los Alegres De Terán,Corre Corre Camioncito,21819316
Corrido,1970,Miguel Aceves Mejia Con El Mariachi Vargas de Tecalitlán,Caballo Prieto Azabache / Caballo Lobo Gateado / El Siete Leguas / El Cantor,34665157
Corrido,1970,Los Gavilanes del Norte*,El Silbidito,11098934
Corrido,1970,Los Gavilanes Del Norte,El Disgusto,19731082
Corrido,1970,Cuco Sanchez,Album De Oro Vol. II,20760433
Corrido,1970,Lorenzo De Monteclaro,...Nos Separa El Destino...,17786917
Corrido,1970,Los Auténticos Gavilanes Del Norte*,El Disgusto,11252834
Corrido,1970,Los Gavilanes Juan y Salomon*,La Piedra,11007618
Corrido,1970,Lucha Villa,Mi Gusto Es El Mariachi,11462729
Corrido,1971,Conjunto De Los Hnos. Banda*,Corridos De Siempre,33624315
Corrido,1971,Jose Luis Y Los Maloos,Vol. 3 - Corridos De La Revolución Mexicana,13219911
Corrido,1971,Los Broncos De Reynosa,Sube Y Baja,5668607
Corrido,1971,Dueto Perez y Perez,Chaparrita Consentida / Amor Secreto,30429182
Corrido,1971,Dueto Centella (3),Tragedias Y Corridos,11252987
Corrido,1971,Dueto Rio Bravo*,Ando Borracho,30429209
Corrido,1971,Lucha Villa,El Ausente,10187251
Corrido,1971,Los Tremendos Gavilanes Juan y Salomón*,Corridos Famosos,11221226
Corrido,1971,The Nopals,Lucio Vazquez / Gabino Barrera,11504936
Corrido,1971,Francisco Charro Avitia*,El Rey,8975530
Corrido,1971,Antonio Aguilar*,Cantos De Mi Tierra,14894225
Corrido,1971,Antonio Aguilar*,Antonio Aguilar,4994002
