artist,song,year,i_AR,i_MO,i_DI,i_PO,i_NA,i_GO,IIA_global
"""El Piporro""",Agustin Jaime,2002,0.6666666666666666,0.0,0.0,0.0,0.0,0.2222222222222222,0.14814814814814814
"""El Piporro""",Arnulfo Gonzalez,2002,1.7272727272727273,0.0,0.0,0.0,0.0,0.18181818181818182,0.3181818181818182
"""El Piporro""",Chulas Fronteras,1972,0.0,0.0,0.75,0.0,0.0,0.75,0.25
"""El Piporro""",Chulas Fronteras,2002,0.0,0.0,0.75,0.0,0.0,0.75,0.25
"""El Piporro""",El Güero Aventado,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""El Piporro""",El Ojo De Vidrio,1972,0.5555555555555556,0.0,0.0,0.0,0.0,0.8888888888888888,0.24074074074074073
"""El Piporro""",El Ojo De Vidrio,2002,0.5555555555555556,0.0,0.0,0.0,0.0,0.8888888888888888,0.24074074074074073
"""El Piporro""",El Pata Rajada,2002,0.0,0.0,0.5,0.0,0.0,0.0,0.08333333333333333
"""El Piporro""",El Perro Negro,2002,0.75,0.0,0.0,0.0,0.0,0.0,0.125
"""El Piporro""",El Traga Balas,2002,1.1428571428571428,0.0,0.0,0.0,0.0,0.0,0.19047619047619047
"""El Piporro""",Eres Casado,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""El Piporro""",La Estrea Del Desello,2002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"""El Piporro""",Llego Borracho El Borracho,2002,0.6,0.0,0.0,0.0,0.0,0.2,0.13333333333333333
"""El Piporro""",Mariano Resendez,2002,0.25,0.0,0.0,0.0,0.0,0.16666666666666666,0.06944444444444443
"""El Piporro""",Natalio Reyes Colas,2002,0.0,0.0,0.0,0.0,0.0,2.0,0.3333333333333333
"""El Piporro""",Volaron Los Pavos Reales,2002,1.6,0.0,0.0,0.0,0.0,0.0,0.26666666666666666
7 Notas 7 Colores,"Hecho, Es Simple",2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Notas 7 Colores,Les Gano A Todos,2000,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.05555555555555555
7 Notas 7 Colores,Mala Gente Con Más,2000,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7 Notas 7 Colores,Sube En Mi Nave Espacial,2000,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.07142857142857142
Actitud Maria Marta,La Angelita,1996,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adan Cruz,No Doubt,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adan Cruz,Roystonea,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adan Cruz,Tru-Caos,2014,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adan Cruz,Volare,2015,0.0,0.0,0.75,0.0,0.08333333333333333,0.0,0.13888888888888887
Adan Cruz,We Made A Plan,2015,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adan Cruz & Lc Padrino,Ella Si Me Deja,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adan Cruz & Lc Padrino,Melting,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adan Cruz & Lc Padrino,Trece Remix,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Vázquez,Ay! Cocula,1983,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alberto Vázquez,Corrido De Chihuahua,1983,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.05555555555555555
Alberto Vázquez,Corrido De Chihuahua,1988,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.05555555555555555
Alberto Vázquez,Corrido De Chihuahua,1998,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.05555555555555555
Alberto Vázquez,La Carcel De Cananea,1988,0.4444444444444444,0.0,0.0,0.0,0.0,0.4444444444444444,0.14814814814814814
Alberto Vázquez,La Carcel de Cananea,1988,0.4444444444444444,0.0,0.0,0.0,0.0,0.4444444444444444,0.14814814814814814
Alberto Vázquez,La Carcel de Cananea,1998,0.4444444444444444,0.0,0.0,0.0,0.0,0.4444444444444444,0.14814814814814814
Alberto Vázquez,La Cárcel De Cananéa,1983,0.4444444444444444,0.0,0.0,0.0,0.0,0.4444444444444444,0.14814814814814814
Alemán,Again & Again,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,Astro 1,2018,0.0,0.0,0.0,0.0,0.05555555555555555,0.0,0.009259259259259259
Alemán,Bachas,2020,0.0,0.0,0.0,0.0,0.125,0.0,0.020833333333333332
Alemán,Casa en la Montaña 2,2020,0.0,0.0,0.25,0.0,0.0,0.0,0.041666666666666664
Alemán,Categoría 5 / Huracán,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,Chingo de Wax,2020,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.018518518518518517
Alemán,Dealers,2020,0.0,0.0,0.0,0.0,0.06896551724137931,0.13793103448275862,0.034482758620689655
Alemán,Del 98,2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,Derecho por Lo Chueco,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,Down With Me,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,El Compa Ramiro,2018,0.0,0.3333333333333333,0.5,0.0,0.0,0.16666666666666666,0.16666666666666666
Alemán,El Patrón,2018,0.0,0.0,0.07692307692307693,0.0,0.038461538461538464,0.19230769230769232,0.05128205128205127
Alemán,Estilo y Flow,2018,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.1111111111111111
Alemán,Eterno,2018,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.1111111111111111
Alemán,Famous G,2018,0.0,0.0,0.2,0.0,0.0,0.0,0.03333333333333333
Alemán,Humo en la Trampa 2,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,Kilo Culo,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,Knockout OG,2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,La Pálida,2020,0.0,0.0,0.3,0.0,0.1,0.2,0.1
Alemán,Lingotes,2020,0.0,0.0,0.5,0.0,0.0,0.0,0.08333333333333333
Alemán,Lo Mío es la Calle,2020,0.3,0.0,0.2,0.0,0.5,0.0,0.16666666666666666
Alemán,Los Duros,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,Mi Loca (Bonus Track),2020,0.0,0.0,0.0,0.0,0.35,0.0,0.058333333333333334
Alemán,Mi Tío Snoop,2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,Millones Como Tú,2018,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alemán,No Me Digas Na,2020,0.0,0.0,2.0,0.0,0.0,0.0,0.3333333333333333
Alemán,Perro Callejero,2018,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.047619047619047616
Alemán,Pinches Puercos,2018,0.0,0.0,0.0,0.14285714285714285,0.0,0.2857142857142857,0.07142857142857142
