artist,song,year,verso_idx,verso_texto
Dharius,Ando Rolando,2022,47,"No hay falla, me chingo una raya"
Grupo Exterminador,Las Monjitas,1996,17,Que en sus barbas la droga pasaban
Antonio Aguilar,La Güera Chabela,1988,15,Yo conozco mi huellada
Alberto Vázquez,Ay! Cocula,1983,14,De Cocula es el mariachi
El As De La Sierra,El Desconocido,1997,38,seguro no tiene pruebas
Los Tigres Del Norte,Morir Matando,2003,18,Yo soy un hombre de ley
Cartel De Santa,México Lindo Y Bandido ,2006,10,Ahí la banda es la que rifa
Bad Bunny,Estamos Bien,2021,8,"Sobran los billetes de cien, eh-eh"
Dharius,Mala Vibra,2018,35,Ando sin frenos con rumbo directo hasta arriba
Chalino Sánchez,Chico El Colorado,2012,14,El Colorado se ha muerto ya nunca peleara y a los que a mi metaron ya nunca mas pelearan
C-Kan,Esta Vida Me Encanta,2012,42,"me gusta andar prendido entre puro pirata,"
Bad Bunny,La Mudanza,2025,40,A mí me quieren como a Tito y soy serio como Cotto
Alemán,Quién Si No,2018,71,"Estás aquí, haces lo tuyo, luego la gente te olvida"
Peso Pluma,La Patrulla,2024,3,De varias la ha librado andando en la patrulla
Los Huracanes Del Norte,Sangre De Gallo,2000,6,"Desde que estaba morrillo,"
Chalino Sánchez,Julián Del Real,2012,6,Platicando con Herrera
Chalino Sánchez,La Muerte Del Torito,2012,33,"Ay, qué dolor pa su padre"
Chalino Sánchez,El Gallo De Sinaloa ,2008,5,Traigo cerquita la muerte
Los Huracanes Del Norte,El Cuatro,2008,17,"""Pueden seguir adelante"""
Alemán,Bachas,2020,45,"Prendo OG en todas partes, Honda Fox Supreme los guantes"
Chalino Sánchez,Dinastia De Los Ochoa,2025,1,Muy triste por mala suerte
Chalino Sánchez,Prajedes Felix,2002,5,Tomando un trago de vino
Belinda,Mírame Feliz,2025,1,"Oh, she like you, uh?"
Blnko,Siempre la Cago,2021,72,"Amo tu mirada, las cosas que dices"
Los Tigres Del Norte,La Fama De La Pareja,2007,32,para lo que quiere hacer
"""El Piporro""",Volaron Los Pavos Reales,2002,10,"Los consejos de una madre, no se han de oír como quiera"
Chalino Sánchez,Nacho Verduzco,2012,10,Disfrazados se acercaron
Alemán,Si Chuy,2020,4,Desde morro me gané el respect (el respect)
Luis Perez Meza,El Barzon,1983,11,"El sembrador me iba hablando, yo le dije al sembrador"
El As De La Sierra,Alegre Y Mujeriego,1997,40,"Muchas gracias, mis compas"
Alemán,Pinches Puercos,2018,8,"Apenas iba en la esquina y la puta chota me agarra, y yo"
Cartel De Santa,Super MC's,2002,12,Me escurre el flow como a un gordo el sudor
Los Tigres Del Norte,El Zorro De Ojinaga,2003,0,El cuidaba la frontera
Cartel De Santa,Super MC's,2002,31,Quedan plasmadas en los libros de historia
"""El Piporro""",Volaron Los Pavos Reales,2002,29,"Déjenme caer el parpado, no quiero morir feo, raza)"
Carlos Y Jose,El Capitan Fantasma,1980,24,Esas cárceles ingratas que conocieron tu historia
La Arrolladora Banda El Limón De Rene Camacho,El Rengo,2009,0,Llegó rengueando un viejito a las puertas de un palenque
Los Tucanes De Tijuana,Catarino Y Los Rurales,2008,22,"Y son puras balas de plomo"""
Ramon Ayala Y Sus Bravos Del Norte,Cruzando Fronteras,2007,5,el hambre y la necesidad
"Natanael Cano, Junior H, Dan Sanchez",Buenos Ratos,2019,24,Pero siguen confundidos
Los Tucanes De Tijuana,El Jefazo,1998,33,Todo lo arreglan con balas
Remmy Valenzuela,24 Horas,2014,14,las ordenes superiores y nos quería agandayar
C-Kan,My Everything,2015,24,Or stick mi prefer way
Grupo Laberinto,La Yegua Cebruna,1996,22,Suma muy considerable
Los Tucanes De Tijuana,Gente Del Cartel,2014,3,pa que no anden preguntando
Kartel De Las Calles,Las Calles Me Llaman,2006,41,"Homie, así es, ahora soy otro nivel"
Los Cadetes De Linares,Traficantes,1998,0,Amigos voy a contarles
Alemán & Adán Cruz,Todo Está Bien,2018,65,"Ya se lo dije mi Sheriff, soy rapero, no vendo peric'"
Skool 77,Esperanza,2019,56,"Hay mucho canales, pero no hay color"
Los Tigres Del Norte,La Fama De La Pareja,2007,11,hacemos la gran pareja
Dharius,Aquí Traigo una Cosa,2022,30,"¡Ay, mamá!, sé que te va a gustar"
Grupo Exterminador,Me Gusta Ponerle Al Polvo,2014,3,Y que a muchos les estorbo
Illya Kuryaki & The Valderramas,No Way José,1996,78,"Al gordo, le dije que no es nada"
Carin León,San Judas Enmicado,2019,22,Y uno en vestido de chal
Grupo Exterminador,El Toro Grande,2000,24,Me veo como el semental
Los Tigres Del Norte,El Fin Del Mundo,2002,25,El secreto al cementerio
Blnko,Irreverente/Desaparezco,2023,58,Y me regrese tu recuerdo en unos meses
Los Huracanes Del Norte,La Nota Roja,1998,17,Sin luces se fue perdiendo
Peso Pluma,Sr. Smith,2024,5,Morras van y morras vienen
Peso Pluma,Me Activo,2024,14,"Y ya saben qué show, así suena la Doble P, viejo"
Ladrones,Veneno,2025,24,Mujeres bonitas llegando que siempre hacen falta pa' ambientar
Adan Cruz,No Doubt,2014,44,"Mis metas, mi golan, mi Roulan marcó"
Julión Álvarez Y Su Norteño Banda,Las Plebes,2022,32,la mueven pa donde ellas quieren
C-Kan,Nos Tienen Miedo,2014,17,todos ustedes nos tienen miedo
Julión Álvarez Y Su Norteño Banda,Las Plebes,2022,0,Ya se ven llegar las plebes
Alemán,Eterno,2018,2,¿Por qué nunca me dijiste que te irías con el Eclipse?
Carlos Y Jose,El Bipper De Mis Amigos,2012,25,"Le compite a Perú y a Colombia,"
Faruz Feet,Underdogg,2015,18,los míos desesperado güey pues mira
Los Cadetes De Linares,La Tartana,2000,23,Contrata a dos pistoleros
Denilson,Mujeres Y Metales,2021,15,"El mundo es tuyo, en mi cabeza me formé una idea (yeah)"
