artist,song,year,verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO
C-Kan,La Vida No La Tienes Comprada,2012,"despiertan los tiros en la madrugada,",1,0,0,0,0,0
Peso Pluma,Put Em In The Fridge,2024,"Sin la lámpara, con el cuerno de goat, ¿qué lo?",1,0,0,0,0,0
Tito Double P,Ay Mamá,2024,"Ando bien enbroncado, viejito, y apenas son las cuatro y media",0,0,0,0,0,0
Los Tigres Del Norte,Juan Guerrero,1983,Matando cuatro y al cuñado de mi novia,1,0,0,0,0,0
Antonio Aguilar,Bandido De Amores,2000,y contra el bandido vació su pistola.,2,0,0,0,0,0
Carlos Y Jose,"""Otilio Betancurt""",1998,Por defender a un amigo,0,0,0,0,0,0
C-Kan,Cuando Era Niño,2012,Vinieron tiempos malos y malas noticias juntas,0,0,0,0,0,0
Voz De Mando,Maximo Nivel,2013,Bazuca y lanzagranadas y un cuerno de disco,3,0,0,0,0,0
Tiro Loko,Ando Bien Marihuano,2021,"Mis barras que son barra libre, por eso las jarras que agarras otro calibre",0,0,0,0,0,0
Skool 77,Esperanza,2019,Descansen ya sus armas que nadie pidió una guerra,1,0,0,0,0,0
Los Tigres Del Norte,Los Dos Plebes,2007,Me andan queriendo matar,0,0,0,0,0,0
Chalino Sánchez,Chico El Colorado,2012,El Colorado se ha muerto ya nunca peleara y a los que a mi metaron ya nunca mas pelearan,2,0,0,0,0,0
Pesado,Julieta Y El General,2008,Hoy le cobrare su muerte,0,0,0,0,0,0
Rich Vagos,Millonario,2020,"Dios me perdone por matar a los que me tiran pero ninguno me lastima, gracias",2,0,0,0,0,0
Los Cadetes de Linares,Eleazar Del Fierro,1980,"Eleazar ya maliciaba, que lo querían matar",2,0,0,0,0,0
CA7RIEL & Paco Amoroso,Baby Gangsta (Live At NPR Music's Tiny Desk),2025,Y ahora me tiro de cuatro a la vez (cuatro),0,0,0,0,0,0
Los Caminantes,Los Dos Hermanos,1984,De dos balazos mató a la mujer de su hermano,0,0,0,0,0,0
Los Tucanes De Tijuana,El Tesoro,2008,Arma que trae empotrada,2,0,0,0,0,0
Los Cadetes De Linares,Corrido de los Perez,2000,Y a los primeros balazos fue el primero que corrió,2,0,0,0,0,0
Grupo Exterminador,El Cartel De La Calle,1996,Por que si aquí no traes arma,1,0,0,0,0,0
Chalino Sánchez,Anastasio Pacheco,2012,"Y unas tres o cuatro vacas""",0,0,0,0,0,0
