artist,song,year,verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO
Valentin Elizalde,Traicion Federal,2008,"Mi gente y yo nos fajamos, rodeados de federales",,,,,,
Grupo Exterminador,Las Monjitas,1996,Dijo el jefe de los federales,,,,,,
Los Tigres Del Norte,Por Debajo Del Agua,1997,del gobierno americano.,,,,,,
Valentin Elizalde,Traicion Federal,2008,"Ahora unos judiciales, usan muy modernas armas",,,,,,
Antonio Aguilar,Corrido De Simón Blanco,1984,Que el gobierno respetaba,,,,,,
Natanael Cano,Dejala Brillar,2025,Ella solita se tira a matar,,,,,,
Los Tigres Del Norte,Valentin Felix,2003,"Con sus cuatro cargadores, puro parque americano",,,,,,
Los Tetas,Funky Fiesta,2002,"muéstrale a la gente la ley de la jungla,",,,,,,
C-Kan,Tirando Esquina,2014,Y los tira la tinta de malos,,,,,,
Los Huracanes Del Norte,El Leon De La Sierra,1988,"Un grupo de federales, en busca de hierba mala,",,,,,,
Valentin Elizalde,El Mensaje,2008,Porque de él no han agarrado ni un carro la policía,,,,,,
Los Tucanes De Tijuana,Frontera Roja,1996,La mafia tira a matar,,,,,,
Los Tucanes De Tijuana,Cris,2007,varia gente del gobierno,,,,,,
Grupo Exterminador,El Muchacho Y El Teniente,1997,No quieras hacerte el héroe es por tu bien muchachito te puede costar la vida si no me entregas los kilos estas retando al gobierno y ese es un grabe delito,,,,,,
Illya Kuryaki & The Valderramas,Abarajame,1996,Pues según la ley ocho tiros legales,,,,,,
Grupo Exterminador,Contrabando En Los Huevos,2014,También armas del gobierno,,,,,,
Vaquero's Musical,Ocho Kilos de Goma,1997,por eso los federales no hallaban nada en mi troca,,,,,,
Los Tucanes De Tijuana,El H2,2014,y mas armas que el gobierno,,,,,,
Los Tucanes De Tijuana,Barbarino,2014,Trae mas armas que el gobierno,,,,,,
Los Cadetes De Linares,Los Contrabandistas,1976,Un policía estaba muerto,,,,,,
Valentin Elizalde,Corrido Del Primo,2008,"El gobierno americano, ofrece muchos millones",,,,,,
Carlos Y José,Los Federales De Caminos,1988,"Me refiero a todos ellos, federales de camino",,,,,,
Los Tucanes De Tijuana,Masacre En Vallarta,1997,Somos gente del gobierno,,,,,,
Alemán,Bachas,2020,La chota no me cacha si muevo kilos en lancha (por el mar),,,,,,
Ramon Ayala,Contrabando Y Traicion,1976,"La policía solo halló, una pistola tirada",,,,,,
Millonario,Casco Nazi,2015,"Se fue pa' la plaza, lo atoró la ley",,,,,,
Chalino Sánchez,Candido Rodriguez,2008,"Hay que matar a Rodríguez, traigo órdenes del gobierno",,,,,,
Carlos Y Jose,Gloria Reyes,1976,Mando traer la policía,,,,,,
Voz De Mando,Los Tres Mandos ,2013,Gonzalo tira una granada,,,,,,
Denilson,Lágrimas Y Sangre,2021,Guanajuato sin ley hasta la muerte reales,,,,,,
Carlos Y José,Santos Cantu,1988,"Ha muerto Santos Cantu, lo matan los federales",,,,,,
Los Invasores De Nuevo Leon,Clave 7,2024,Estaban 100 federales,,,,,,
Beto Quintanilla,El Jefe Belisario,2000,también gente del gobierno,,,,,,
C-Kan,Latinos Unidos,2014,"Puercos vendidos, coyotes bandidos",,,,,,
El As De La Sierra,El Gallito Fugado,1997,el gobierno americano,,,,,,
Los Tucanes De Tijuana,El Mz (Version Banda Sinaloense),2007,"La ley quiere detenerlo,",,,,,,
Los Huracanes Del Norte,El Cuatro,2008,Con billetes el Gobierno,,,,,,
Vico C,Explosión,2006,"Dígame, la gente del gobierno local",,,,,,
Los Tucanes De Tijuana,Armando Soto,1997,La ley recojio la carga,,,,,,
Los Huracanes Del Norte,Oro Verde,1998,"Los únicos que no saben, es la gente del gobierno",,,,,,
Valentin Elizalde,El Narco Batallón,2008,la gente paga al gobierno,,,,,,
Los Invasores De Nuevo Leon,Clave 7,2024,Ninguna ley del gobierno,,,,,,
