artist,song,year,verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO
Los Invasores De Nuevo Leon,El Aguila Real,1998,"Procedente de Colombia, una avioneta llegaba,",,,,,,
Tito Double P,La Troka,2024,"Mija, súbete a la troca",,,,,,
Los Caminantes,Valentin De La Sierra,1984,Y colgado en la sierra,,,,,,
Los Tigres Del Norte,Me Gusta Lo Bueno,1983,Lo que sembre alla en la sierra,,,,,,
Santa Fe Klan,Adiccion,2019,Esta mercancía controla todo el terreno,,,,,,
Fuerza Regida,Nunca Se Imaginó,2022,Y ahí donde lo ven carga su pistola,,,,,,
Carlos Y Jose,Corrido De La Chicharra,1978,Cuando a caballo montaba,,,,,,
Grupo Exterminador,El Mexicano Cien Por Ciento,1997,en mi troca solitario escuchando una rola la,,,,,,
Voz De Mando,Estrategias de Guerra,2013,Carga las mejores armas,,,,,,
Los Cadetes De Linares,Pista Secreta,2000,"Si no es porque yo me fajo, no hubiera salvado el flete",,,,,,
Kosmer,Brasil 99',2020,"No trabajo en nada, yo soy mi producto y dueño",,,,,,
Fuerza Regida,Nunca Se Imaginó,2022,Y hoy donde lo ven carga su pistola,,,,,,
Valentin Elizalde,La Lobo Blindada,2008,Y en esa troca la llevan,,,,,,
Los Invasores De Nuevo Leon,La Fuga De Reynosa,1988,Y a bordo de camioneta,,,,,,
7 Notas 7 Colores,Mala Gente Con Más,2000,Por eso ahora no es lo mismo que tú vayas soñando en tu carro,,,,,,
Voz De Mando,Maximo Nivel,2013,Super caballo arrendado el 11 buen respaldo,,,,,,
Los Huracanes Del Norte,"Doble Fondo "" Carga Pesada """,1997,"Tenian que llegar al norte, la carga estaba tratada",,,,,,
Los Cuates De Sinaloa, El Corrido de el Compa Deme,2009,sea por kilos o pedasos,,,,,,
Los Tucanes De Tijuana,El Catador,1998,Que la carga no servía,,,,,,
El As De La Sierra,El Desconocido,1997,de aquella sierra tan linda,,,,,,
Grupo Montéz De Durango,Las Mulas De Garame,2006,y ensillame mi caballo,,,,,,
Los Tucanes De Tijuana,El Tigre De Tijuana,2008,Lo echaron pa' la frontera,,,,,,
Antonio Aguilar,El Caballo Jovero,1984,Es la historia de un caballo que se llamaba el Jover,,,,,,
Los Invasores De Nuevo Leon,Clave 7,2024,Ya murió el león de la sierra,,,,,,
"""El Piporro""",Volaron Los Pavos Reales,2002,"Volaron los pavos reales, rumbo a la sierra mojada",,,,,,
Grupo Exterminador,El Mexicano Cien Por Ciento,1997,Tengo una troca bien perrona que por mi rancho,,,,,,
Fuerza Regida,Soy El Pirata,2022,Son altas y bajas en este camino,,,,,,
Grupo Laberinto,El Comandante,1996,"Ah, qué historia de caballo",,,,,,
Pesado,El Arbol De La Horca,2008,La muerte andaba a caballo,,,,,,
Los Cadetes De Linares,La Fuga De Mazatlan,2008,Ya me voy para la sierra del estado de Durango,,,,,,
Antonio Aguilar,El Caballo Blanco,1972,Este es el corrido del caballo blanco,,,,,,
Vaquero's Musical,La Muerte Del Carrete,1996,"a mi caballo y mi perro,",,,,,,
Millonario & W. Corona,Lirica Y Metralla,2012,Yo no doy el kilo doy la tonelada y pal frente,,,,,,
Los Huracanes Del Norte,La Suburban Dorada,1997,Y estaba toda blindada,,,,,,
"""El Piporro""",Mariano Resendez,2002,El amo del contrabando,,,,,,
Jenni Rivera,La Maestra Del Contrabando,2012,RecibÃ un bachillerato en Ciencias del Contrabando.,,,,,,
