artist,song,year,verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO
Banda Machos,Fuera De La Ley,2008,Tengo gente donde quiera,,,,,,
Los Cuates De Sinaloa,Del Cielo Cayó una Rosa,2009,Y los dueños de la plaza,,,,,,
Los Cadetes De Linares,Las Tres Mujeres,1984,Cuando la gente pasaba,,,,,,
Daddy Yankee,Talento De Barrio,2008,Que pone a prueba el talento de barrio (oh),,,,,,
Grupo Exterminador,Las Monjitas,1996,Dijo el jefe de los federales,,,,,,
Los Tigres Del Norte,Las Huellas Del Alacrán,2007,Sin la astucia de su jefe lo pudieron hubicar,,,,,,
El As De La Sierra,El Cachas De Oro,1998,teniente no soy cobarde,,,,,,
Alemán,El Patrón,2018,"Llegó el patrón, atención, todos a cambiar",,,,,,
Los Tucanes De Tijuana,Gonzalo Inzunza,2014,A la orden de la gran empresa,,,,,,
Daddy Yankee,Talento De Barrio,2008,"Deja la excusa, sal y conquista, con tu talento 'e barrio",,,,,,
Tino El Pingüino,Época,2018,La banda anda contenta y todos se sienten genial,,,,,,
Santa Fe Klan,Adiccion,2019,"Every day me la fumo, el barrio perfumo",,,,,,
C-Kan,Un Par De Balas,2014,"Saco mi CD, luego les mando a la delincuencia",,,,,,
Colmillo NORTEÑO,IVAN ARCHIVALDO,2008,(y ahí le va un saludo pa toda mi gente de Culiacan y no,,,,,,
Los Tucanes De Tijuana,Los Marinos,1998,Alla donde hay gente brava.,,,,,,
Los Tucanes De Tijuana,La piñata,1997,Dijo la esposa del jefe,,,,,,
Los Tucanes De Tijuana,El Tesoro,2008,Cuando da la voz de mando,,,,,,
La Arrolladora Banda El Limón De Rene Camacho,El Rengo,2009,Un gallogiro llevaba y se lo mostró a la gente,,,,,,
Los Tucanes De Tijuana,Los Juniors,1998,Negocian con puro jefe,,,,,,
Luis Y Julián,Asesino a Sueldo,1983,"Se que me mando llamar, pa liquidarle unas cuentas,",,,,,,
Pedro Infante,Nacho Bernal,1988,Los hombres que son valientes,,,,,,
Chalino Sánchez,El Crimen De Culiacan,1996,A dos hombres que mataron,,,,,,
Los Tucanes De Tijuana,El Caqui,1997,Así le decía su gente,,,,,,
Sergio Vega,El Jefe De Las Plazas,2009,De pues de abrirle su clave,,,,,,
Lorenzo De Monteclaro,Carga Ladeada,1988,Pero defendió su gente,,,,,,
Los Huracanes Del Norte,Lamberto Quintero,1988,Ahí murieron diez hombres,,,,,,
Antonio Aguilar,Corrido De Simón Blanco,1984,Hombre entre los hombres,,,,,,
Alemán,Eterno,2018,"Querida mama, toda la gente te ama",,,,,,
Calibre 50,El Niño VZ,2012,Pieza clave del negocio,,,,,,
Chalino Sánchez,Amador Garcia,2008,"le toca mucho la banda, o este grupo musical",,,,,,
Colmillo NORTEÑO,IVAN ARCHIVALDO,2008,"pa gente de alto criterio,",,,,,,
Chalino Sánchez,El Corrido De Badiraguato,2008,Donde hay hombres muy valientes y sus mujeres divinas,,,,,,
C-Kan,Ten La Tuya,2012,Lo ha visto tu gente en la calle y los noticieros,,,,,,
Millonario & W. Corona,De La Calle Soy,2012,La marca del barrio es la dueña,,,,,,
Vicente Fernandez,El Corrido De Monterrey,1988,"Y que muy dentro llevo, si señor",,,,,,
Antonio Aguilar,Domingo Corrales,2006,Rayando el caballo frente de la plaza,,,,,,
Grupo Exterminador,El Dedo,1997,Mi gente sigue mandando,,,,,,
Colmillo NORTEÑO,IVAN ARCHIVALDO,2008,y que hay gente que ni duerme... que de morir tiene miedo...,,,,,,
Eme MalaFe,Oveja Negra 1,2024,Pero siempre gente de chamba,,,,,,
Los Tucanes De Tijuana,El Más Bravo De Los Bravos,2014,Y a la orden de tres letras,,,,,,
Carlos Y José,La Preciosa,1988,Hombres a carta cabal,,,,,,
Jenni Rivera,Chicana Jalisciense,2012,es gente alegre que sabe gozar,,,,,,
Antonio Aguilar,Lamberto Quintero,2000,"Ahí quedaron diez hombres, por esos mismos motivos",,,,,,
Millonario & W. Corona,Mas Flow Mas Cash,2012,"Tengo un cuete y una banda loca, chingo de perico y locas en mi troca",,,,,,
Los Huracanes Del Norte,El Cugar Gris,1998,El comandante le dijo te voy a llevar prisionero...,,,,,,
C-Kan,Intro (Somos de Barrio),2012,Y el oficial que aspira perico y extorsiona a gente,,,,,,
Voz De Mando,Gente de Arranque,2013,Esta es la gente de arranke,,,,,,
Voz De Mando,Los Tres Mandos ,2013,Gonzalo la gente anda activa,,,,,,
Los Cadetes De Linares,Monterrey Como Has Crecido,1983,"Hombres con mucho valor,",,,,,,
La Arrolladora Banda El Limón De Rene Camacho,El Arbol De La Horca,2009,Señor pues le pertenece,,,,,,
Voz De Mando,"La Hummer y El Camaro 2 ""la Revancha""",2013,Mi gente es su gente y yo le hago esquina,,,,,,
Los Cadetes de Linares,Dimas De Leon,1980,"Mando llamar los empleados, para que lo desarmaran",,,,,,
7 Notas 7 Colores,Mala Gente Con Más,2000,"rodando a un nivel superior, nunca nadie nos pudo.",,,,,,
Redimi2,La Fiesta,2019,La música y gente cantando,,,,,,
Los Tucanes De Tijuana,Barbarino,2014,y mas gente que al Qaeda,,,,,,
7 Notas 7 Colores,Mala Gente Con Más,2000,"""Mala Gente Con Más (con Kamikaze & Supernafamacho)""",,,,,,
Vaquero's Musical,Ocho Kilos de Goma,1997,el comandante me dijo que me quitara las botas,,,,,,
Chalino Sánchez,Ignacio Parra,2012,la gente de Ignacio Parra,,,,,,
Los Huracanes Del Norte,Cruz De Cemento,1997,Ke no me llore la gente,,,,,,
Los Tigres Del Norte,El Tamal,2003,"Pero si la quiere toda, con sus hombres yo me mato",,,,,,
Grupo Exterminador,El Jefe de la Mafia,1998,Y el de la clave privada,,,,,,
Vaquero's Musical,Torres Gonzalez,1997,"A chihuahua otro reten militar, ojala sea mi teniente",,,,,,
El Komander,La Vuelta Cargada,2013,"La clave el apoyo, siguen avanzando",,,,,,
Dharius,Mala Vibra,2018,Y lo que hable gente pendeja sabes que no me interesa,,,,,,
Vico C,Explosión,2006,Ni yo ni mi gente podremos permitir,,,,,,
Voz De Mando,La Recia,2013,por que esta gente es de accion.,,,,,,
C-Kan,Vivo La Vida Cantando,2014,Y el señor presidente debería hacer lo que el papa,,,,,,
Chalino Sánchez,El Guilo Rivera,1998,Que aun lo extraña su gente,,,,,,
Los Tigres Del Norte,La Paloma,1997,Si la gente está enterada,,,,,,
Los Tucanes De Tijuana,Gente Del Cartel,2014,Yo soy gente del cartel,,,,,,
Dharius,Directo Hasta Arriba ,2014,Me pegó a la libreta y hago rap para mi gente,,,,,,
Jenni Rivera,Que Me Entierren Con La Banda,2000,Paseándome con la banda,,,,,,
Los Tucanes De Tijuana,Mi Tiendita,2007,atendia pura gente importante,,,,,,
Voz De Mando,Estrategias de Guerra,2013,El jefe anda en la carrera,,,,,,
Los Tigres Del Norte,El Reportero,1996,"Hay gente que si trabaja, para servir a mi Patria",,,,,,
Los Tigres Del Norte,El Rengo Del Gallo Giro,1997,Y se lo mostró a la gente,,,,,,
Los Tigres Del Norte,La Calle Trece ,2014,Por ahí dicen las voces de la gente,,,,,,
Los Cadetes De Linares,Lamberto Quintero,1984,Allí murieron diez hombres,,,,,,
Millonario & W. Corona,Así Soy Yo,2012,¡Ey! mami vente pa'ca llego el peligro del barrio,,,,,,
