artist,song,verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO
Fuerza Regida,El Diablo,Ya casi a diario llegan billetes,0,0,2,0,0,0
C-Kan,Somos de Barrio,"ni dinero me tengo que quedar conforme,",0,0,0,0,0,0
Rich Vagos,90's Kid,Diamantes en los arcillos,0,0,1,0,0,0
Dharius,Polvo Blanco,"Con más estilo que dinero, pero no me desespero",0,0,1,0,0,0
Wisin,Control,"El dinero, ah",0,0,1,0,0,0
Chino Pacas,CHAMAQUITO,"Y que sigan llegando las pacas, carnal",0,0,2,0,0,0
Cartel De Santa,Para Aquí O Para Llevar,Con ella los aplausos las grupis y el dinero,0,0,3,0,0,0
Los Tigres Del Norte,El Reportero,"Devaluaron la moneda, antes dólares cambiaron",0,0,0,0,0,0
"Natanael Cano, Junior H, Dan Sanchez",Échele Un Ojo,Puedes darte muchos lujos el torsal ya me refleja,0,0,2,0,0,0
Chalino Sánchez,El Pitallon,Las mujeres y la banda siempre han sido su pasion,0,0,2,0,0,0
Los Tigres Del Norte,El Niño De La Calle ,Quiero juntar un dinero aunque,0,0,1,0,0,0
Chino Pacas,FLOTA,"Y que sigan llegando las pacas, a la verga",0,0,2,0,0,0
Fuerza Regida,TU SANCHO ,"Diferentes mujeres de varios sabores, nomás no te me aloques",0,0,2,0,0,0
Valentin Elizalde,Jesus Alvino Quintero,"Empezo a empuñar dinero, tambien empuño la fama",0,0,3,0,0,0
Natanael Cano,Yo Le Batallé ,Descubrí que en las calles es donde está el dinero,0,0,2,0,0,0
Los Tucanes De Tijuana,Armando Soto,"Musica, vino y mujeres",0,0,2,0,0,0
Los Tigres Del Norte,Viva Mi Sinaloa,Con las mujeres soy complaciente,0,0,0,0,0,0
Los Tigres Del Norte,Muerte Anunciada,En 5 y 10 mil millones,0,0,1,0,0,0
"Junior H, Peso Pluma",El Azul,"Me enamoró el dinero, quiero, quiero y quiero más",0,0,3,0,0,0
Chino Pacas,ZUMBANDO,Que sigan llegando las pacas,0,0,1,0,0,0
Rich Vagos,Lugar Correcto,Por eso es que el dinero es tu mejor amigo for real,0,0,0,0,0,0
Los Tucanes De Tijuana,Los Mas Buscados,Se gasta mucho dinero,0,0,2,0,0,0
Lalo Mora,Los Consejos De Mi Padre,No es dinero ni cobrable,0,0,0,0,0,0
Chino Pacas,NO ES UN JUEGO,Quería dinero en la mano,0,0,1,0,0,0
Alemán & Adán Cruz,Ya No Hay Cheve,"Sigamos por que el tiempo es oro, oro pa' fumar",0,0,0,0,0,0
Chino Pacas,SINIESTRO,"Que sigan llegando las pacas, mi compa Alejandro",0,0,2,0,0,0
El As De La Sierra,Alegre Y Mujeriego,Vamos a Culiacán que aquí traigo dinero,0,1,1,0,0,0
Calibre 50,El Camarada,Y en eso está valuada mi riqueza,0,0,1,0,0,0
Hood P.,No Cocos No Tallos,¿Te gusta el dinero? Te daré un contrato,0,0,1,0,0,0
Faruz Feet,Puro Corazón ,Que el hip hop no es trofeo y no se hace por dinero,0,0,0,0,0,0
Kartel De Las Calles,Las Calles Me Llaman,Pero por el dinero hay que buscar otro camino,0,0,1,0,0,0
Grupo Exterminador,El Muchacho Y El Teniente,El nombre jamás se supo y aquel valiente muchacho cuentan que por Michoacán alegre se anda paseando gastando muchos billetes y otro viaje preparando,0,0,3,0,0,0
Adan Cruz,Volare,Tengo tanto amor al dinero,0,0,3,0,0,0
Mike Diaz,Ser Galáctico ,"Dioses, drogas, TV, sangre, escuela, oro, odio, ego, muerte",0,0,3,0,0,0
Grupo Exterminador,Me Encanta la Travesura ,El dinero es pa gastarlo no es pa tenerlo guardado si no de que me ha servido lo mucho que he trabajado sirvanle a todos mesera no he venido a pedir fiado con billetes en la bolsa lo que me sobra es la carne el pan me lo dejan fiado lo que me falta es el hambre antes que el mundo se acabe voy a vivir a lo grande,0,0,3,0,0,0
Los Tigres Del Norte,El Hijo Menor,"Gastar dinero en los hijos, no es una cuenta perdida",0,0,0,0,0,0
Paulo Londra,Sigan Hablando De Mi,"Ovy On The Drums y Kristo haciendo dinero (Oh, oh, oh)",0,0,0,0,0,0
