artist,song,year,verso_texto,val_AR,val_MO,val_DI,val_PO,val_NA,val_GO,ia_AR,ia_MO,ia_DI,ia_PO,ia_NA
Los Tucanes De Tijuana,El Jefazo,1998.0,Mire señor comandante,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Alemán,Del 98,2019.0,"El patrón, el rey, el jefe en esto del rap",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Los Tucanes De Tijuana,Suerte Marcada,2008.0,El comandante y su gente,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
Los Tucanes De Tijuana,Gente Del Cartel,2014.0,Yo soy gente del cártel,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0
Voz De Mando,Estrategias de Guerra,2013.0,Traía al mando mucha gente,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0
Los Tigres Del Norte,Contrabando Y Robo,1988.0,Era el jefe de la banda,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
"""El Piporro""",Llego Borracho El Borracho,2002.0,"Del jefe del orden publico, y primo del que cerraba",0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
Los Tucanes De Tijuana,El Catador,1998.0,Y en clave le dijo al jefe,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
Remmy Valenzuela,El Rescate,2014.0,uno aquí sigo firme a la orden del señor por un poco de,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0
Remmy Valenzuela,24 Horas,2014.0,el jefe me dio la orden,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
"""El Piporro""",El Güero Aventado,2002.0,"De los hombres más entrones del barrio de los matones, es el güero",1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Vaquero's Musical,El Mujeron,1997.0,Ay en mi barrio murió un señor del corazón.,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Calibre 50,Escuela Del Virus Antrax,2012.0,"Patrocino su carrera, sus gastos de escuela, el señor comandante",0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Grupo Laberinto,Clave 7,1996.0,Oiga señor comandante,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Los Invasores De Nuevo Leon,Clave 7,2024.0,"Adiós, señor comandante",0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Los Tucanes De Tijuana,El Chapo Guzmán,1996.0,Menos jefe de una banda,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
Los Tucanes De Tijuana,El Gallo,1997.0,Gente de clave privadaaa...,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
Chino Pacas,GTO,2025.0,"Aquí traigo balas, también a mi banda, puro locote que el barrio levanta",1,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Larry Hernández,El Taliban,2009.0,Mientras train orden y mando,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
Peso Pluma,Rubicon,2023.0,Nos mantenemos a la orden del Señor,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
El Komander,La Vuelta Cargada,2013.0,Tal vez sea la gente que cuida la plaza,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
Valentín Elizalde,Clave Privada,2013.0,"ahora me llaman patrón, tengo mi clave privada.",0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
Los Huracanes Del Norte,Clave 7,1988.0,"Adiós señor comandante, aquí lo llevo en mi lista",0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
Calibre 50,El Niño VZ,2012.0,La plaza tengo a mi mando,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
Natanael Cano,Traigo Ganas,2022.0,El jefe dice que la plaza no se cuida sola,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
"Peso Pluma, Luis R Conriquez",Siempre Pendientes,2022.0,Cuido la plaza del señor Guzmán,1,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
Carlos Y Jose,Jacinto El Tullido,1984.0,yo soy de los meros hombres entienda teniente,0,0,0,2,0,0,0.0,0.0,0.0,0.0,0.0
Los Tigres Del Norte,Leopoldo Rios,2007.0,"La gente se amontonaba, viendo al teniente en el piso",2,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Gerardo Ortiz,A La Orden Del Flaco,2021.0,Y aquí la plaza ya tiene patrón,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0
El Komander,Una Pantera En Las Cachas,2013.0,La gente sigue y a mi mando,0,0,0,3,0,0,0.0,0.0,0.0,0.0,0.0
