artist,song,year,lustro,es_narco_fuerte,subgenero_ia,etiqueta_humana,lyrics
Antonio Aguilar,El Grano De Oro,1972,1970,1,6,1.0,"Yo le puse grano de oro
A mi caballo alazán
Era de mi fierro criollo
Era hermoso mi animal
Mas se lo di a Pancho Villa
En su santo allá en Parral

Pancho Villa le dio un grado
Le dio el grado de mayor
Cuando lo salvo en Celaya
De las balas de Obregón
Corrió con su carga en lomo
Hasta llegar a Torreón

El valor de Pancho Villa
Y las patas del corcel
Eran del ciclo norteño
Que llamaban lucifer
Pero era Francisco Villa
En su caballo más fiel

Una vez se lo robaron
Los huertistas en Parral
Mas el potro enfurecido
No dejo de reparar
Hasta quitarse al jinete
Regresando a su corral

Las metrallas enemigas
Y hasta uno que otro cañón
Los lanzaba Pancho Villa
En plena Revolución
Grano de Oro los jalaba
Relinchando de valor

Cuando mataron a Villa
En Hidalgo del Parral
En Canutillo el caballo
Lo esperaba en el corral
Murió con la silla puesta
Esperando al general"
Ignacio López Tarso,Despierten Ya Mexicanos,1972,1970,1,6,1.0,"Dispierten ya, mexicanos
Los que no han podido ver
Que andan derramando sangre por subir a otro al poder

Pobre nación mexicana
¡Qué mala ha sido tu suerte!
Tus hijos todavía quieren más en la desgracia verte

Mira a mi patria querida nomás cómo va quedando
Que a sus hombres más valientes todos los van traicionando
¿Dónde está el jefe Zapata que su espada ya no brilla?
¿Dónde está el braco del norte que era don Francisco Villa?

Estaban las tres pelonas sentadas en la ventana
La Cuca, la Petra, la loca de Soledad
Y luego llegó un soldado queriéndoselas llevar
Una decía que sí, la otra decía que no
Una decía que sí y al final se las llevó

Fueron líderes primeros que empuñaron el acero
Hasta subir al poder a Don Francisco y Madero
Pero qué iluso Madero, cuando subió al poder
A Pancho Villa y Zapata los quiso desconocer

Yo no he visto candidato que no sea convenenciero
Cuando suben al poder, ah, no conocen compañero
Zapata le dijo a Villa: ""ya perdimos el albur
Tú atacarás por el norte, yo atacaré por el sur""

Ya con esta me despido
Porque nosotros nos vamos
Aquí termina el corrido
Despierten ya mexicanos"
Carlos Y Jose,Gloria Reyes,1976,1975,1,12,1.0,"Voy a cantar un corrido
Con permiso de las leyes
Miren lo que a sucedido
En el rancho los magueyes
Mataron a José Alfredo
Y también a Gloria Reyes
El día primero de mayo
Por ahi platita la gente
Había una fiesta en el rancho
Que organizaba valente
De todo aquello era el dueño
Y de Gloria pretendiente
Gloria tenia su novio
José Alfredo se llamaba
Como era la mas bonita
Valente la cortejaba
Y aveces con su dinero
Hasta comprarla trataba
José Alfredo era valiente
Valente ya lo sabia
Como le tenia miedo
Mando traer la policía
Para que lo desarmaran
Y matarlo a sangre fría
Cuando Gloria se dio cuenta
Que a su novio desarmaron
Corrió a donde se encontraba
Cinco balazos sonaron
Y solo dieron al banco
Dos cuerpos atravesaron
Ya con esta me despido
No olviden lo de magueyes
Donde murió José Alfredo
Y su novia Gloria Reyes
Valente ya esta en la cárcel
Donde lo juzgan las leyes"
Los Cadetes De Linares,Polvo Maldito,1977,1975,1,5,1.0,"Por el Bravo y sus riveras
Cuanto corrido se ha escrito
Por Tamaulipas y Texas
Como hay hombres con delitos
Unos trafican la ""hierba""
Otros el polvo maldito.

Voy a cantarles un caso
Que en la historia va quedar
A un traficante famoso
Lo acaban de liquidar
Lo mato su propio hijo
Sin poderlo remediar.

En el condado de Hidalgo
Pago todos sus delitos
El gobierno americano
Mando sin saber a su hijo
A que fueran a aprenderlo
Los de la ley eran cinco.

Llegando al punto presiso
Y le marcaron el alto
Pero rendirse no quiso
Y alcanzo a matar a cuatro
Pero al conocer a su hijo
Subio las manos en alto.

No hubo tiempo de pensarlo
Aquel joven disparó
Y cuando iba a rematarlo
Ahi lo reconoció
De rodillas y llorando
Perdoname le grito.

¯Que quieres que te perdone?
Antes de morir le dijo
Anda a avisar a la corte
Que tu no tienes delito
Que el culpable de este crimen
A sido el polvo maldito."
Los Cadetes De Linares,Nomas Las Mujeres Quedan,1978,1975,1,12,1.0,"En un cañón de la sierra
Hay un rancho en el olvido
Se declararon la guerra
Hombres que vivían tranquilos
Nomás las mujeres quedan
Ellos murieron a tiros

Del lado norte los Pérez
Del lado sur los García
Por culpa de las mujeres
Que unos y otros pretendían
Poco a poco se acabaron
Aquellas dos dinastías

Las mujeres muy hermosas
Llegaban al matrimonio
Pero ahora andan enlutadas
Y es el triste testimonio
Que por esos andurreales
Anduvo suelto el demonio

Ya ni la milpa florece
El campo está abandonado
Ni la hierba mala crece
Y ha muerto todo el ganado
Y el rio según parece
También ya se está secando

Nomás las mujeres quedan
Y el odio las va matando
En el rostro siempre llevan
La huella que deja el llanto
De sus maridos se acuerdan
Llorando en el camposanto

Las mujeres muy hermosas
Llegaban al matrimonio
Pero ahora andan enlutadas
Y es el triste testimonio
Que por esos andurreales
Anduvo suelto el demonio"
Los Cadetes De Linares,Juan De La Fuente,1976,1975,1,5,1.0,"San Francisco se llama el poblado
Mi corrido es de allá exactamente
A mediados de abril se mataron
Luis Hernández y Juan De La Fuente

Luis se andaba raptando a Susana
La mujer más bonita del pueblo
Ella solo a su Juan adoraba
Sin querer fue la causa del duelo

Juan llego para ver a su amada
En aquellos precisos momentos
Reclamo a Luis la vil canallada
Diez minutos después era muerto

Se agarraron del cuello uno al otro
Se abrazaron, cayeron al suelo
En aquel callejos pedregoso
Se clavaron las dagas de acero

Juan traía su pistola fajada
Su cuchillo de acero y navaja
Como Luis no traía más que daga
Juan no quiso pelear con ventaja

De recuerdo hay dos cruces de encino
Y una novia bonita que llora
San Francisco volvió a ser testigo
De un amante con muchas historias"
Los Tigres Del Norte,La Banda Del Carro Rojo,1976,1975,1,8,1.0,"Dicen que venían del sur
En un carro colorado
Traían cien kilos de coca
Iban con rumbo a Chicago
Así lo dijo el soplón
Que los había denunciado

Ya habían pasado la aduana
La que está en El Paso, Texas
Pero en mero San Antonio
Los estaban esperando
Eran los rinches de Texas
Que comandan el condado

Una sirena lloraba
Un emigrante gritaba
""Que detuvieran el carro
Para que lo registraran
Y que no se resistieran
Porque si no los mataban""

Surge un M-16
Cuando iba rugiendo el aire
El faro de una patrulla
Se vio volar por el aire
Así empezó aquel combate
Donde fue aquella masacre

Decía, Lino Quintana
""Esto tenía que pasar
Mis compañeros han muerto
Ya no podrán declarar
Y yo lo siento, sheriff
Porque yo no sé cantar""

De los siete que murieron
Solo las cruces quedaron
Cuatro eran del carro rojo
Los otros tres del gobierno
Por ellos no se preocupen
Irán con Lino al infierno

Dicen que eran de El Candil
Otros que eran de El Altar
Hasta por ahí dicen muchos
Que procedían de El Parral
La verdad nunca se supo
Nadie los fue a reclamar"
Vicente Fernandez,El Arracadas,1978,1975,1,6,1.0,"Como la sombra de un fantasma por las noches
Cruzando montes, barrancos, y poblados
Va un hombre triste montado en su caballo
Su perro lo acompaña rastreando los sembrados

Todos se dicen por ahí viene el Arracada
Lleva patillas, chamarra de vaquero
Tejana negra y pantalón de cuero, con mirada tranquila
Buscando a algún cuatrero

'Voy a cumplir un juramento que es sagrado'
Cuando salió de su jacal, dijo a su madre
Voy a buscar a aquel traidor que allá en la loma
Cobardemente y sin piedad mató a mi padre

Unos rumores de plegaria se escucharon
Cuando una madre por su hijo pide al cielo
Luego un caballo se aleja relinchando
Y allá por la barranca sus pasos se perdieron

Y aquel traidor a quien buscaba el Arracada
Lo hallaron muerto colgado en un potrero
Mientras otro hombre, su perro y su caballo
Nunca jamás se han visto, perdió su paradero

Allá en lo obscuro de un jacal se oye un sollozo
Es de una madre que se encuentra abandonada
Le llora a un hombre que le escucha desde el cielo
Y a un hijo ausente del que no se sabe nada
Y a un hijo ausente del que no se sabe nada"
Los Broncos De Reynosa,Clave 7,1983,1980,1,12,1.0,"En el retén de la Loma, estaban 100 federales
Preguntando por Pedrito, también por Paulino Burgos,
Pero andaban despistados, le preguntaban a un mudo.

Clave 7 es la consigna, de agentes y de soldados,
Ese león ya crío melena, van a tener que matarlo,
Nomás no se arriesguen mucho,
Primero hay que traicionarlo.

En la ciudad de Hermosillo, hubo una concentración
También pusieron retenes, por todita la nación
Lo cierto es que los transportes, Pedrito los regaló.

Le mandaron 2 agentes, que le pidieran dinero,
Veinte millones de pesos, era el precio de su cuero,
Pero como era camuco, lo tomaron prisionero.

Junto con dos compañeros, además dos señoritas
Los llevaron a la Y griega, era la ultima cita,
Ahí los acribillaron, junto con las jovencitas.

Desde ese día inolvidable, no rola tanto dinero,
Y unos agentes traidores, ahora estrenan carro nuevo,
Y un hombre en Guadalajara, no duerme de puro miedo.

Adiós señor comandante, aquí lo llevo en mi lista
Usted me echó por delante, ahí lo espero en la revista
Ya que tumbo mi panal, ahora toree las avispas.

Mis armas no las entrego, van a quedar en el cerro,
Yo no me fío de esa gente, que la deslumbra el dinero,
Ya murió el León de la Sierra, vengan a quitarle el cuero.

Adiós todos mis amigos, del Valle de Culiacán,
Ninguna ley del gobierno, mi nombre podrá cambiar
Me llamo Pedro Avilés, no se les vaya a olvidar."
Los Broncos De Reynosa,Clave 7,1983,1980,1,12,1.0,"En el retén de la Loma, estaban 100 federales
Preguntando por Pedrito, también por Paulino Burgos,
Pero andaban despistados, le preguntaban a un mudo.

Clave 7 es la consigna, de agentes y de soldados,
Ese león ya crío melena, van a tener que matarlo,
Nomás no se arriesguen mucho,
Primero hay que traicionarlo.

En la ciudad de Hermosillo, hubo una concentración
También pusieron retenes, por todita la nación
Lo cierto es que los transportes, Pedrito los regaló.

Le mandaron 2 agentes, que le pidieran dinero,
Veinte millones de pesos, era el precio de su cuero,
Pero como era camuco, lo tomaron prisionero.

Junto con dos compañeros, además dos señoritas
Los llevaron a la Y griega, era la ultima cita,
Ahí los acribillaron, junto con las jovencitas.

Desde ese día inolvidable, no rola tanto dinero,
Y unos agentes traidores, ahora estrenan carro nuevo,
Y un hombre en Guadalajara, no duerme de puro miedo.

Adiós señor comandante, aquí lo llevo en mi lista
Usted me echó por delante, ahí lo espero en la revista
Ya que tumbo mi panal, ahora toree las avispas.

Mis armas no las entrego, van a quedar en el cerro,
Yo no me fío de esa gente, que la deslumbra el dinero,
Ya murió el León de la Sierra, vengan a quitarle el cuero.

Adiós todos mis amigos, del Valle de Culiacán,
Ninguna ley del gobierno, mi nombre podrá cambiar
Me llamo Pedro Avilés, no se les vaya a olvidar."
Los Cadetes de Linares,Dimas De Leon,1980,1980,1,12,1.0,"Un día 10 de Septiembre, de un domingo que paso,
En el puerto Matamoros, un velador lo mato

Dimas salió de Reynosa, en su carro preparado,
A visitar a su amante, así lo tenía pensado

Dimas y dos compañeros, en un cabaret tomaban
Como le tenían miedo, ya todos se preparaban

El velador temeroso, de que Dimas lo matara
Mando llamar los empleados, para que lo desarmaran

Primero Adán y El Cantú, la pistola le quitaron
Y también a Cayetano, que en le carro lo encontraron

A Dimas lo detuvieron, cuando este iba a intervenir
Por la espalda le pegaron, no lo dejaron salir

De pronto Miguel Balderas, su pistola disparo,
De dos balazos certeros, el cráneo le atravesó

Adiós Reynosa querido, orgullo de la frontera,
Donde Dimas se paseaba, con su pistola por fuera

Ya con esta ahí me despido, señores de esta región
Aquí termina el corrido, ya murió Dimas De León"
Los Cadetes de Linares,Descansa General,1984,1980,1,6,1.0,"Pasan los años, tú recuerdo esta en la historia
De Pancho Villa, que a su México dejó
Y en su memoria con orgullo lo decía
Acepto el reto, que la vida me marco

Fue Pancho Villa decidido y muy valiente
Y su grandeza lo llevo hasta General
Estuvo preso por delitos cometidos
Y allá en su celda, comenzaba a deletrear

Descansa General
Reposa gran tesoro
Por tus hazañas de oro
Mi México te amó

Autodidacto es el nombre que merece
Por ser valiente y que solo se formó
Vengo con gusto, la deshonra de su hermana
Y allá en sus tropas, 30 mil hombres mandó

Si ya no late, aquel pecho que gritaba
Porque rendido, un cobarde lo mato
Y que ganaron con cortarle la cabeza
Si su grandeza era de él, se la llevó"
Los Caminantes,Valentin De La Sierra,1984,1980,1,12,1.0,"Voy a cantar un corrido
De un amigo de mi tierra
Llamadose valentin que fue fusilado
Y colgado en la sierra

Ni me quisiera acordar
Era una tarde de invierno
Cuando por su mala suerte callo valentin
En manos del gobierno

El coronel le de decia
Cual es la gente que guias
Son ochocientos soldados
Que trae por la sierra mariano mejia

El coronel le pregunta
Cual es la gente que mandas
Son ochocientos soldados
Que tienen rodeada la hacienda de holanda

El general le decia
Yo te consedo el indulto
Pero me vas decir cual es el jurado
Y la causa que busco

Valentin como era hombre
De nada le dio razon
Yo soy de los meros hombres
Que an inventado la revolucion

Antes de llegar al cerro
Valentin quiso llorar
Madre mia de guadalupe
Por tu religion me van a matar

Vuela vuela palomita
Parate en aquel fortin
Estas son las mañanitas
De un hombre valiente que fue valentin"
