artist,song,year,lustro,es_narco_fuerte,subgenero_ia,etiqueta_humana,lyrics
Antonio Aguilar,El Patas Blancas,1972,1970,1,6,,"Caballo de patas blancas
Con herraduras de acero
Hoy vas a brincar las trancas
Antes que salga el lucero

Y vas a llevar en ancas
A la mujer que yo quiero
(A la mujer que yo quiero)

La gente por donde quiera
Ya saben que soy matrero
Y traigo en mi carrillera
Cincuenta balas de acero

Para llevarme a mi prieta
En mi caballo lucero
(En mi caballo lucero)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)

Yo sé que me están buscando
Con ansia desesperada
También yo me estoy quemando
Por conocer tu manada

Y verlos agonizando
Comiendo sangre empolvada
(Comiendo sangre empolvada)

Por ahí dicen que la muerte
Me anda siguiendo los pasos
Y yo digo que la suerte
Me ha de llevar a tus brazos

Entonces podré besarte
Aunque me den de balazo
(Aunque me den de balazo)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)"
Carlos Y Jose,Las Tres Mujeres,1972,1970,1,12,,"Por ahí dice una leyenda
Que en el rancho Los Canales, se aparecen 3 mujeres
Que en vida fueron rivales,
Se dieron de puñaladas, allá entre los mezquitales

El causante de sus muertes,
Santos Valdez se llamaba, que a las 3 por separado,
Les decía que las amaba,
Pero a ninguna quería, nada más las engañaba

Lucita era de La Posta,
De Charco Azul, María Inés, Esthela era de Reynosa
La más brava de las 3,
Decía yo pierdo la vida, antes que a Santos Valdez

Dicen que en Laguna Seca,
Cuando la gente pasaba, se oían gritos de mujeres,
Cuando ya el sol, se ocultaba,
Eran aquellas valientes, que ya de muertas penaban

Santos Valdez fue a sus tumbas,
Para pedirles perdón, rezaba sus oraciones,
Con todo su corazón, y quien había de pensarlo,
Que ahí murió en el panteón

Lucita era de La Posta,
De Charco Azul, María Inés, Esthela era de Reynosa
La más brava de las 3,
Decía yo pierdo la vida, antes que a Santos Valdez"
Antonio Aguilar,El Patas Blancas,1972,1970,1,6,,"Caballo de patas blancas
Con herraduras de acero
Hoy vas a brincar las trancas
Antes que salga el lucero

Y vas a llevar en ancas
A la mujer que yo quiero
(A la mujer que yo quiero)

La gente por donde quiera
Ya saben que soy matrero
Y traigo en mi carrillera
Cincuenta balas de acero

Para llevarme a mi prieta
En mi caballo lucero
(En mi caballo lucero)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)

Yo sé que me están buscando
Con ansia desesperada
También yo me estoy quemando
Por conocer tu manada

Y verlos agonizando
Comiendo sangre empolvada
(Comiendo sangre empolvada)

Por ahí dicen que la muerte
Me anda siguiendo los pasos
Y yo digo que la suerte
Me ha de llevar a tus brazos

Entonces podré besarte
Aunque me den de balazo
(Aunque me den de balazo)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)"
Vicente Fernàndez,El Palenque,1972,1970,1,0,,"Traigo un gallo colorado
Que jamás se me ha rajado
En el ruedo del palenque
En la ferias que ha peleado
Muchos gallos afamados
Han perdido lo valiente
La medida en la navaja
Pa' mi gallo nunca es nada
Se la juega como quiera
Yo le apuesto hasta la vida
Si se trata de jugarla
Me la rifo con cualquiera
Las carreras de caballos
Y los naipes de colores
Para mí son pura vida
Y el amor que a mí me quiera
Debe ser sin pretensiones
Pa' que esté de mi medida
Para gallos mi Jalisco
Mi mero Guadalajara
Les pregunto a los señores
Los que son apostadores
Cuando ponen a su gallo
Y si quieren les apuesto
Mi dinero, y mi pistola
Mi montura y mi caballo
Las carreras de caballos
Y los naipes de colores
Para mí son pura vida
Y el amor que a mí me quiera
Debe ser sin pretensiones
Pa' que este de mi medida"
Los Tigres Del Norte,Margarita La De Tijuana,1977,1975,1,12,,"De Piedras Negras, Coahuila
Salieron una mañana
Adelante de Iglepez
La emigracion los paraba
De laredo era Julian
Margarita de Tijuana.

Llevaban un contrabando
De ese polvo tan vendido
Margarita en su peinado
Ahi lo traia escondido
Vamos de luna de miel
A San Antonio querido.

Margarita sospechaba
Que Julian no la queria
Porque a veces comentaba
Que el una novia tenia
Y que juntando una plata
Con ella se casaria.

20, 000 dolares dieron
Cuando entregaron la carga
Julian guardo aquel dinero
Y empuñando su pistola
Yo me voy para Laredo
Ya tu presencia me estorba.

Levantando su pistola
Le apuntaba al corazon
Margarita de su bolsa
Le enseñaba un cargador
Yo descargue tu pistola
Presentia tu traicion.

Sonaron varios balazos
Julian bien muerto cayo
Y aquel fajo de billetes
Margarita se llevo
Por tener cuentas pendientes
A Tijuana no volvio."
Los Tigres Del Norte,Pueblo Querido,1976,1975,1,5,,"Hoy me encuentro muy lejos muy lejos
De la tierra que vio naceeeeer
De mis padres y de mis hermanos
Y del mi barrio que vio crecer
La nostalgia me destroza el alma
Y quisiera volverlos a ver.

El recuerdo se me hace tristeza
La tristeza me hace llorar
Entre llanto parece que miro
A mi pueblo y mi dulce hogar
Y tambien a mi madre bendita
Que sin duda por mi a de rezar

Yo ancio con todo mi ser
Regresar a mi pueblo querido
Y mi dios me lo a de conceder
Pa' morirme a ya con los mios.

Es triste muy encontrarse ausente
De la tierra donde uno a nacido y mas
Triste sino estan presentes los amigos
Y los seres queridos que el destino nos
Hizo dejarnos mata el alma jamas ha podido
Yo he bagado por grandes ciudades
Por sus calles retebien alumbradas pero
Nunca he olvidado a mi pueblo y ni pienso
Olvidarlo por nada aunque tenga
Sus casas de adobes y una que otra
Calleja empedrada

Yo ancio con todo mi ser
Regresar a mi pueblo querido
Y mi dios me lo a de conceder
Pa' morirme a ya con los mios."
Los Cadetes De Linares,Eran Cuatro De A Caballo,1977,1975,1,6,,"Eran cuatro de a caballo
De aquel real del matimil
Huyendo de la cordada
Se escondieron por allí

Pancho era de aquellos cuatro
El más cruel y sanguinario
Pues una ves mato a un cura
Cuando rezaba un rosario

Y mariano por su gusto
Cuántos pueblos incendió
Y para estar más contento
Los trenes derredescarriló

Eran cuatro de a caballo
De aquel real del matimil
Y como eran muy felones
Se escondieron por allí

A guillermo le gustaba
El robarse a las donsellas
Ofreciéndoles la gloria
Con la luna y las estrellas

Y nos faltaba felipe
Un bandido muy sagaz
Que soñaba con el golpe
Robarse la catedral

Eran cuatro de a caballo
De aquel real del matimil
Huyendo de la cordada
Se escondieron por allí

Mariano allá viene el tren
Los vas a descarilar
Francisco deja ese cura
No lo vallas a matar

Ten compasión ya Guillermo
De esa joven viginad
¿Dónde la escondes Felipe
Si te robas catedral?

Eran cuatro de a caballo
De aquel real del matimil
Dios los haya perdonado
Pues los mataron allí"
Los Cadetes De Linares,Los Contrabandistas,1976,1975,1,12,,"El día 22 de mayo
Del año '73
Se agarraron a balazos
Bandidos contra la ley

La carretera a Laredo
Siempre muy bien vigilada
Pero con el contrabando
Pasan en la madrugada

Venían los contrabandistas
Procedentes de Galeana
Iban para Houston, Texas
Con carga de marihuana

Cuando pasaron la aduana
Los siguió la federal
Pero en lugar de pararse
Comenzaron a tirar

El federal reportó
Por radio a sus compañeros
Que sigan la camioneta
Que va con rumbo a Laredo

Ese día en la madrugada
Los gallos tristes cantaron
Un policía estaba muerto
Los de la troca escaparon

Otro agente federal
Que muere en la carretera
Por unos contrabandistas
Miembros de larga cadena"
Carlos Y Jose,La Entalladita,1976,1975,1,6,,"Roberto Muciño, le dice a Teodora,
Respeta el cariño que traigo pistola
La traigo con 8 tiros, y van con dedicatoria

No seas tan coqueta, se más decentita,
Ella le contesta, con una sonrisa
Pues yo no tengo la culpa,
De haber nacido bonita

Tú ya estas pedida y me arde la cara
De verte vestida, con ropa entallada
Todos los hombres te miran,
Y a mi no me cuadra nada

Si ya estoy pedida, tú no has protestado
Estaré pedida, más no me he casado
No voy a pasar la vida, con un celoso amargado

Saco su pistola, para amenazarla,
Pero la Teodora, le arrebato el arma,
Con ella los 8 tiros, se lo sepulto en el alma

Luego la aprendieron a la Teodorita
Los jueces la vieron muy entalladita
Y la libertad le dieron, nomás porque era bonita

Roberto se ha ido, ella se ha quedado,
Robando suspiros, más no se ha casado
Pa darle gusto a la vida, con su vestido entallado"
Maria Dolores Pradera,El Caballo Blanco,1976,1975,1,5,,"este es el corrido del
caballo blanco en un
dia domingo feliz arrancara
iba con la mira de llegar al
norte abiendo salido de
guadalajara

su noble jinete le
quito la rienda le
quito la silla y se
fue apuro pelo

cruso como rallo
tierras nayaritas
entre serros berdes y
el azul del cielo

a paso mas lento
llego asta escuinapa
y por culiacan lla se
andaba quedando

dicen que cojiaba de
la pata izuierda que
llebaba todo el osico sangrando

pero lo miraon pasar
por sonora el valle
del yaqui le dio su
ternura

cuentan que cojiaba
de la pata izquierda
y apesar de todo
siguio su abentura

llego asta hermosillo
siguio pa caborca
y por mexicali sintio
que moria subio paso
a paso por la rumorosa
llegando a tijuana con
la luz del dia

cumplida su asaña
llego a rosarito y
no quiso echarse asta
ber ensenada
este es el corrido
del caballo blanco
que sali un domingo
de guadalajara..."
Ramon Ayala,Daniel Del Fierro,1976,1975,1,12,,"Año del 69 yo quisiera recordarles
Que ha muerto Daniel del Fierro
La tragedia he de cantarles
Cayó en terrible emboscada de unos falsos aduanales

En un pueblito del norte de tierras tamaulipecas
Fue acribillado a balazos cuando iba en su camioneta
Hiriendo a Herón y Ricardo con balas de metralletas

Ese rancho de la piedra lugar que los vio nacer
Le han aumentado los muertos y una tumba más con él
De una cruz acompañado ha recibido Daniel

Termina la dinastía, sus rivales han querido
Y los hermanos del Fierro a balazos han caído
La forma en que ellos murieron jamás pasará al olvido

Con rumbo hacia Matamoros, vuela paloma norteña
Anda a avisarles a todos, también al rancho la piedra
Que ha muerto Daniel del Fierro ya les cante su tragedia"
Los Cadetes De Linares,Los Contrabandistas,1977,1975,1,12,,"El día 22 de mayo
Del año '73
Se agarraron a balazos
Bandidos contra la ley

La carretera a Laredo
Siempre muy bien vigilada
Pero con el contrabando
Pasan en la madrugada

Venían los contrabandistas
Procedentes de Galeana
Iban para Houston, Texas
Con carga de marihuana

Cuando pasaron la aduana
Los siguió la federal
Pero en lugar de pararse
Comenzaron a tirar

El federal reportó
Por radio a sus compañeros
Que sigan la camioneta
Que va con rumbo a Laredo

Ese día en la madrugada
Los gallos tristes cantaron
Un policía estaba muerto
Los de la troca escaparon

Otro agente federal
Que muere en la carretera
Por unos contrabandistas
Miembros de larga cadena"
Chayito Valdez,Simon Blanco,1976,1975,1,12,,"Voy a cantar un corrido,
Sin agravio y sin disgusto,
Lo que sucedio en Tres Palos,
Municipio de Acapulco,
Mataron a Simon Blanco,
Más grande fué su resulto.

Su madre se lo decía,
Simón no vayas al baile,
Y Simón le contestó,
Madre no seas tan cobarde,
Para que cuidarse tanto,
De una vez lo que sea tarde.

Cuando Simón llegó al baile,
Se dirigió a la reunión,
Toditos le saludaron,
Como era gente de honor,
Se dijeron los Martínez,
Cayó en las redes el león.

Como a las tres de la tarde,
Dió principio la cuestión,
Cuando con pistola en mano,
Adrián Baylón lo cazó,
Siendo Simón su compadre,
Vilmente lo asesinó.

(Puente muscial)

A los primeros balazos,
Simón habló con violencia,
Adrián dame mi pistola,
No ves que esa es mi defensa,
Quiso lograr a Martínez,
Le falló la resistencia.

Como a los tres dias de muerto,
Los Martínez fallecieron,
Decían en sus novenarios,
Que se encerraba un misterio,
Porque matar a un compadre,
Era ofender al eterno.

Mataron a Simón Blanco,
Que era un gallito de tragua,
Era un gallito muy fino,
Que el gobierno respetaba,
El con su treinta en la mano,
Simón Blanco se llamaba"
Vicente Fernandez,El Gallo Negro,1978,1975,1,0,,"Ya se cuenta por ahí que soy gallo de Saltillo
Porque hasta le he ganado al famoso gallo giro
Otros dicen por ahí que soy gallo afamado
Porque hasta le he ganado al gallito colorado

Soy del monte, soy del rancho no soy rico pero tampoco pobre
Y me juego hasta la vida por defender mi nombre
Me dicen el gallo negro porque me gusta pelear
Pero a nadie juego sucio, ni a nadie vengo a buscar

Ya se dice por ahí que soy un gallo distinto
Jugador y enamorado y que para cantar me pinto
Otros dicen por ahí que soy gallito bravío
Es muy cierto lo que dicen pero defiendo lo mio

Soy del monte, soy del rancho no soy rico pero tampoco pobre
Y me juego hasta la vida por defender mi nombre
Me dicen el gallo negro porque me gusta pelear
Echenme al patas chorreadas o al prieto águila real"
Luis Y Julian,La Tragedia De Rosita,1978,1975,1,12,,"A las orillas del rio lavaba ropa rosita
ni el trabajo ni el astillo marchitaban su carita
de todo aquel cacerio ella era la mas bonita

los campesinos cantaban cuando la veian benir
y su amor se disputaba por ella podian morir
todos ellos adoraban aquella rosa de abril

el tiempo asi transcurria cuando renacen las rosas
pero aquel tragico dia cambiaron mucho las cosas
la tragedia es compañia de las mujeres hermosas

aquel dia amanecio nublado en el firmamento
rosita al rio bajo llevando su cargamento
un hombre se le acerco trayendo mal pensamiento

rosita del alma mia le decia aquel ranchero
como e esperado este dia pa decirte que te quiero
ahora tienes que ser mia o en el intento me muero

debajo de aquel encino que en ese lugar crecio
aquel torbo campesino de rosita se burlo
luego la hecho al remolino y el rio se la llevo"
Los Cadetes De Linares,Las Tres Tumbas,1976,1975,1,12,,"Salieron de madrugada
Se oía el cantar de los gallos
Iban a hacer dos jornadas
Al lomo de sus caballos
La fiesta se celebraba
En el rancho del pitayo

Su padre les dió un consejo
Cuando a partir se aprestaban
Cuiden muy bien el pellejo
Porque la vida se acaba
En las palabras del viejo
Los 3tres hermanos pensaban

Pedro le dice a Fabian
Dale un trago a Jose Luis
Que beba de ese mezcal
Pa' que se sienta feliz
Que ahorita nomás llegados
Nos vamos a divertir

Cuando arribaron al baile
A bailar se dirigieron
La muerte andaba en el aire
Ellos no la presintieron
Como les dijo su padre
Cuando del rancho salieron

Eran muchos los rivales
Viejos reencores surgieron
Rondando tras los jacales
Abrieron todos el fuego
Así matan los cobardes
Cuando los acosa el miedo

Un viejito solitario
Sin esperanza ninguna
Cuida el rancho y tres caballos
Como toda su fortuna
Va al panteón de vez en cuando
A visitar las tres tumbas"
Carlos Y Jose,Corrido De La Chicharra,1978,1975,1,6,,"Voy a entonar unos versos
Al compás de mi guitarra
Es la historia de un amigo
Pedro montes ""la chicharra""
Cuentan que temblaba el monte
Cuando a caballo montaba
Nativo de nuevo león
Bautizado en San Fernando
Era amigo de Ataleo
De Agapito y de su hermano
A toda la gente pobre
Siempre le daba la mano
De Victoria hasta Linares
Pedro ya estaba ensortado
Ya todos los ganaderos
Ya vivían azorados
Sabían que andando a caballo
Portaba cualquier ganado
En el rancho Casas Grandes
Lo quisieron agarrar
Le tendieron una trampa
Cuando iba a entrar a un corral
A caballo rajo el monte
Y a San Carlos fue a parar
Pero su destino un día
Lo ha traicionado a la mala
Se mato con su caballo
Cuando huía de una emboscada
Así termino su vida
Pedro montes ""la chicharra""
Adiós ley de Tamaulipas
Y la ley de nuevo león
Nunca se les concedió
Me llevaran a prisión
Llevaran mi nombre escrito
Y una cruz en el panteón"
Los Tigres Del Norte,Pueblo Querido,1976,1975,1,5,,"Hoy me encuentro muy lejos muy lejos
De la tierra que vio naceeeeer
De mis padres y de mis hermanos
Y del mi barrio que vio crecer
La nostalgia me destroza el alma
Y quisiera volverlos a ver.

El recuerdo se me hace tristeza
La tristeza me hace llorar
Entre llanto parece que miro
A mi pueblo y mi dulce hogar
Y tambien a mi madre bendita
Que sin duda por mi a de rezar

Yo ancio con todo mi ser
Regresar a mi pueblo querido
Y mi dios me lo a de conceder
Pa' morirme a ya con los mios.

Es triste muy encontrarse ausente
De la tierra donde uno a nacido y mas
Triste sino estan presentes los amigos
Y los seres queridos que el destino nos
Hizo dejarnos mata el alma jamas ha podido
Yo he bagado por grandes ciudades
Por sus calles retebien alumbradas pero
Nunca he olvidado a mi pueblo y ni pienso
Olvidarlo por nada aunque tenga
Sus casas de adobes y una que otra
Calleja empedrada

Yo ancio con todo mi ser
Regresar a mi pueblo querido
Y mi dios me lo a de conceder
Pa' morirme a ya con los mios."
Chayito Valdez,Simon Blanco,1976,1975,1,12,,"Voy a cantar un corrido,
Sin agravio y sin disgusto,
Lo que sucedio en Tres Palos,
Municipio de Acapulco,
Mataron a Simon Blanco,
Más grande fué su resulto.

Su madre se lo decía,
Simón no vayas al baile,
Y Simón le contestó,
Madre no seas tan cobarde,
Para que cuidarse tanto,
De una vez lo que sea tarde.

Cuando Simón llegó al baile,
Se dirigió a la reunión,
Toditos le saludaron,
Como era gente de honor,
Se dijeron los Martínez,
Cayó en las redes el león.

Como a las tres de la tarde,
Dió principio la cuestión,
Cuando con pistola en mano,
Adrián Baylón lo cazó,
Siendo Simón su compadre,
Vilmente lo asesinó.

(Puente muscial)

A los primeros balazos,
Simón habló con violencia,
Adrián dame mi pistola,
No ves que esa es mi defensa,
Quiso lograr a Martínez,
Le falló la resistencia.

Como a los tres dias de muerto,
Los Martínez fallecieron,
Decían en sus novenarios,
Que se encerraba un misterio,
Porque matar a un compadre,
Era ofender al eterno.

Mataron a Simón Blanco,
Que era un gallito de tragua,
Era un gallito muy fino,
Que el gobierno respetaba,
El con su treinta en la mano,
Simón Blanco se llamaba"
José Alfredo Jiménez,"Con La Muerte Entre Los Puños ""El Boxeador""",1977,1975,1,5,,"Nació cerca del potrero, donde no había ni un caballo
Recibió la luz del cielo con relámpagos y rayos
Él no conoció la escuela, donde fueron sus hermanos
Porque él ya tenía la fuerza en el puño de sus manos

Un hermano de su padre, boxeador ya retirado
Le regaló el par de guantes con los que él había ganado
Y no le quedaron grandes, cuando tumbó al Diablo Vega
El campeón de todo el barrio

Por el Campeonato Mundial de los pesos Gallo
Pelearán 15 rounds, en esta esquina
De 53 kilos 50 gramos el actual Campeón Mundial

Llegó a ser campeón del mundo, no había quien se le enfrentara
Hasta que llegó un valiente y peleó en Guadalajara
Salió a ganar como siempre, desde la primer campana
Le pegó hasta que la muerte se le dibujó en la cara

Él lloró con la victoria y maldijo su destino
Porque conquistó la gloria pero se sintió asesino
Después aventó los guantes y se salió de las cuerdas
A buscar cualquier camino

Su atención, por favor, respetable público
Su atención, por favor
El vencedor de esta pelea es"
Luis Y Julian,La Tragedia De Rosita,1978,1975,1,12,,"A las orillas del rio lavaba ropa rosita
ni el trabajo ni el astillo marchitaban su carita
de todo aquel cacerio ella era la mas bonita

los campesinos cantaban cuando la veian benir
y su amor se disputaba por ella podian morir
todos ellos adoraban aquella rosa de abril

el tiempo asi transcurria cuando renacen las rosas
pero aquel tragico dia cambiaron mucho las cosas
la tragedia es compañia de las mujeres hermosas

aquel dia amanecio nublado en el firmamento
rosita al rio bajo llevando su cargamento
un hombre se le acerco trayendo mal pensamiento

rosita del alma mia le decia aquel ranchero
como e esperado este dia pa decirte que te quiero
ahora tienes que ser mia o en el intento me muero

debajo de aquel encino que en ese lugar crecio
aquel torbo campesino de rosita se burlo
luego la hecho al remolino y el rio se la llevo"
Pedrito Fernandez,El Oreja Rajada,1978,1975,1,6,,"De alla de un rancho escondido
Salio de entre una manada
Un potrillo colorado con el fierro de calazada
Quedando de buen tamaño
Llamado oreja rajada

Era caballo corriente pero si le pataleaba
Corrio con otros caballos
Tambien se las espantaba
Pero ya en docientas varas
El oreja los blanqueaba

De pronto surgio una yegua
De aya de la rancheria
Pusieron un corto plaso y señalaron el dia
Se arreglaron en billetes
Con lo que se jugaria

Llego la fecha esperada
El dia que se señalo
Juntos en el partidero
El banderaso se dio
Pero al llegar al cabresto la yegua
Atras se quedo

Mauro el dueño de la yegua
Con la duda se quedo
Treparon muy bien su yegua
Y trajo buen corredo
Para jugarle a laoreja
Y quitarle lo correlon

Por segunda vez partieron
Buscando el triunfo yegaron

En el cabresto señores
Los velores le empataron
Dicen que gano el oreja
Pero que se la robaron"
