artist,song,decada,etiqueta_codigo,etiqueta_humana,lyrics
Antonio Aguilar,Modesta,1970,True,,"Ay que chula y hermosa es modesta yo esta tarde una carta le doy
Y me dice la prenda adorada no señor yo mañana me voy
Si me embargo usted se ha dirigido a la hablarme con mucha bondad
Soy modesta vivo ente pego alas si usted gusta nos vimos alla

(Aaay, ayay mi modesta tan hermosa ahahah)

Pues las señas que le voy a dar pa que pueda usted dar con mi casa
Tres barandales que tienen de acero para el lado donde esta la plaza
Dos barandales que tienen para el lado donde sale el sol
Con un letrero que dicen modesta pa que busca ya saben quien soy

(Ua, Ua, Ua, Ua, Ahah, ayayayaya)

El domingo a las tres de la tarde mi modesta en un tren se me fue
Esos carros corrian muy veloces yo pensando en su amor me quede
Pues el lunes me marchen por tierra como arrancan y feliz pasajero
Con mi blusa de manta rayada mis boaraches de tres abujeros"
Antonio Aguilar,La Panchita,1970,True,,"Aquella que barrio abajo se llama Panchita
Tiene los ojos grandes la boca chiquita
No se que siento cuando me mira mamita del alma
Que esa Panchita recondenada me roba la calma
Cuando me ve enojado se ríe y se carcajea
Y luego me ve temblando, me llena de rabia
No se que hacerle mama querida pa' que me quiera
Que esa Francisca me tiene loco con su vacilón
Platica con los rancheros la prieta maldita
Y entre ellos parece pila del agua bendita
Yo hago corajes y trago bilis mamita del alma
Cuando platica con los rancheros ya no tengo calma
Me incita para en la noche me tira mi plancha
Malhaya si así se burla de mi la tal Pancha
No se que hacerle mama querida pa' que me quiera
Que esa Panchita me tiene loco con su vacilón"
Carlos Y Jose,La Yegua Y La Potranca,1970,True,,"Estado de Tamaulipas, ciudad de Nuevo Laredo
Ya la yegua y la potranca están en el partidero
Vamos a verlas correr, a ver cuál llega primero

De allá del rancho del gato la yegua la Santa Clara
Dele vano la potranca, toparen lo que topara
Que de perdido ganado no había quien se rajara

Eran las nueve del día cuando principió la fiesta
Con el ranchero Luis García depositaron la apuesta
Pero nadie se esperaba una carrera como esta

La yegua en el partidero no se podía dominar
No tengan miedo muchachos los que quieran apostar
Al cabo Francisco Lugo sabe perder y ganar

La potranca se arrancó antes que el tiempo marcara
Nadie pensó de momento que la yegua la alcanzara
Y que la dejara atrás corriendo contra la vara

La yegua ganó por ley porque así lo prometía
Pero se la hicieron tablas para volver otro día
La potranca no volvió, ¿quién sabe por qué sería?

Ahí decía don Pablo Peña con una opinión sincera
Mañana por la mañana se decide la carrera
Y el que se quiera rajar ya lo llevo en mi cartera

Vuela vuela palomita de Laredo hasta Sabina
Y reparte la noticia por toditas las cantinas
La potranca no volvió siendo de raza tan fina"
Los Cadetes De Linares,Bayo Cara Blanca,1970,True,,"Pepito tenía un caballo
Que nomás él lo montaba
Era un bayo cara blanca
De siete cuartas de alzada
Ay, qué rechulo animal
Nomás hablar le faltaba

José quería aquel caballo
Como a su Dios lo adoraba
Todos los días muy temprano
Lo bañaba y lo ensillaba
Y el bayo de puro gusto
Se paraba y relinchaba

De La Arena hasta Terán
Jamás perdió una carrera
Ah, qué rechulo animal
Corría como una fiera
Del Provenir a San Juan
Dejo gente en la miseria

Pero el destino es muy cruel
Y no hay quien se le resista
Y quiso que aquel corcel
Un día perderá la vista
Ya nunca volvió a correr
Ni en el llano ni en la pista

Pa quitarlo de sufrir
José le dio tres balazos
Así le toco morir
A aquel que en la vida era un rayo
De la historia este es el fin
De Pepito y su caballo"
Los Cadetes De Linares,El Cachas De Oro,1970,True,,"Con el permiso señores, su atención les pido a todos
Aquí les traigo el corrido del famoso Cachas de Oro

Gilberto lleva por nombre y Rodríguez su apellido
Le dicen El Cachas de oro en San Benito, el Nacido

Es un amigo sincero y un hombre muy decidido,
Algunos quieren matarlo pero no se han decidido

Los policías de Houston lo han querido desarmar
Y El Cachas de oro les grita: ""¡Primero me han de matar!""

Decía Gilberto Rodríguez: ""No me van a desarmar
Para que a mi me desarmen, trabajo les va a costar""

El Cachas de Oro gritaba con su pistola en la mano
""¡Éntrenle pollos pelones, se me hace que yo les gano!""

Ya con esta ahí me despido, aquí les canté a mi modo
Aquí se acaban los versos, del famoso Cachas de oro"
Ramon Ayala,Contrabando Y Traicion,1970,True,,"Salieron de San Isidro, procedentes de Tijuana
Traían las llantas del carro, repletas de hierba mala
Eran Emilio Varela, y Camelia, la texana

Al pasar por San Clemente, los paró la migración
Les pidió sus documentos, les dijo ""¿de dónde son?""
Ella era de San Antonio, una hembra de corazón

Cuando una hembra quiere a un hombre, por él puede dar la vida
Pero hay que tener cuidado, si esa hembra se siente herida
La tración y el contrabando, dos cosas, incompartidas

A Los Ángeles llegaron, y a Hollywood se pasaron
En un callejón oscuro, las cuatro llantas cambiaron
Y ahí entregaron la hierba, y al momento, les pagaron

Emilio dice a Camelia, ""Hoy te das por despedida
Con la parte que te toca, ya puedes rehacer tu vida
Yo me voy pa' San Francisco, con la dueña, de mi vida""

Sonaron siete balazos, Camelia Emilio mataba
La policía solo halló, una pistola tirada
Del dinero y de Camelia, Nunca más se, supo nada"
Ramon Ayala,Once Tumbas,1970,True,,"Fronteras Tamaulipecas
como olvidar tu recuerdo
si en tus pueblos han matado
a los hermanos del Fierro
y a todos han traicionado
porque les tenian miedo

En 1930
en ese rancho la Piedra
le dieron muerte al primero
Rolando asi se llamaba
y el año del treinta cuatro
asesinaron a Blanca

Hector el cuarenta y ocho
y Eleazar en el cincuenta
cincuenta y dos Baldomero
lo mataron en Reynosa
y Ema en el cincuenta y cuatro
sigue aumentando la cuenta

Bernardo el cincuenta y cinco
Daniel el sesenta y nueve
Eron murio en Valle Hermoso
el 28 de diciembre
Reynaldo el setenta y uno
en una emboscada muere

A Gilberto le tumbaron
un brazo en Cd. Reynosa
pero no lo remataron
tenian miedo a su presencia
y al final vino muriendo
por la misma consecuencia

Hoy se convierte en leyenda
la dinastia de la muerte
hay un panteon que es testigo
en la frontera del norte
once cruces, once tumbas
y en cada tumba un valiente"
Antonio Aguilar,La Viuda Alegre,1980,True,,"Calle de la Palma Real
¿Por qué estás tan asombrosa?
Por la muerte de un amigo
Que lo ha matado su esposa

A las once de la noche
Conchita empezó a pensar
Voy a matar mi marido
Para poderme pasear

Cuando ya estaba dormido
Conchita se le acercó
Perdóname maridito
Ya tu hora se te llegó

Conchita, no seas ingrata
¿Por qué me vas a matar?
Por un amigo que tienes
Que va a ocupar tu lugar

La gente lo presentía
La gente lo comentaba
Ahí viene la viuda alegre
Decían, cuando pasaba

Luego que ya lo mató
Lo abrazaba y lo movía
Ahora si ya te moriste
Tesoro, del alma mía

El juez de letras le dijo
""Conchita, no llores más
Mira, yo no te castigo
Pos viuda, me gustas más""

¡Viejo alborotado!

Entre parranda y parranda
Conchita se divertía
Ya se la llevaron presa
Y de la justicia reía

Cantaban los criminales
Allá en las Islas Marías
Pa que festejar a Conchita
Que allí pasaba unos días

La gente lo presentía
La gente lo comentaba
Ahí viene la viuda alegre
Decían, cuando pasaba"
Carlos Y Jose,El Gallo De San Juan,1980,True,,"A Nuevo León fui a un palenque
Al pueblo de Cadereyta
Oí cantar un corrido
De Manuel Salcido Auzeta
Un gallo de ahí de San Juan
Que trae la navaja puesta

Manuel cayó en una trampa
Antes de que el sol saliera
Causa del amarrador
Él quedó tras de las rejas
Pero ya brinco las trancas
Sin molestar las compuertas

Con la navaja arrastrando
Se fue escribiendo unas letras
Diciendo a aquel que lo busque
Ya sabe con lo que cuenta
Que solo a Dios y al gobierno
Es lo único que respeta

Por ahí cuentan que ese gallo
Mucho antes que amaneciera
Lo miraron en la noche
Desde el cielo las estrellas
Que atravesó Tierra Blanca
Con rumbo fijo a la sierra

Ahí lo vieron por Sonora
Iba con rumbo a Nogales
Lo encontraron en Tijuana
Por Chihuahua y Ciudad Juárez
En busca del gallo negro
El que le mato a su padre

Por ahí cuentan los galleros
Que ese gallo es muy jugado
Azote allá en Sinaloa
Le pusieron por bragado
Amigo de los amigos
Y padre de los malvados"
Chayito Valdez,Simon Blanco,1980,True,,"Voy a cantar un corrido,
Sin agravio y sin disgusto,
Lo que sucedio en Tres Palos,
Municipio de Acapulco,
Mataron a Simon Blanco,
Más grande fué su resulto.

Su madre se lo decía,
Simón no vayas al baile,
Y Simón le contestó,
Madre no seas tan cobarde,
Para que cuidarse tanto,
De una vez lo que sea tarde.

Cuando Simón llegó al baile,
Se dirigió a la reunión,
Toditos le saludaron,
Como era gente de honor,
Se dijeron los Martínez,
Cayó en las redes el león.

Como a las tres de la tarde,
Dió principio la cuestión,
Cuando con pistola en mano,
Adrián Baylón lo cazó,
Siendo Simón su compadre,
Vilmente lo asesinó.

(Puente muscial)

A los primeros balazos,
Simón habló con violencia,
Adrián dame mi pistola,
No ves que esa es mi defensa,
Quiso lograr a Martínez,
Le falló la resistencia.

Como a los tres dias de muerto,
Los Martínez fallecieron,
Decían en sus novenarios,
Que se encerraba un misterio,
Porque matar a un compadre,
Era ofender al eterno.

Mataron a Simón Blanco,
Que era un gallito de tragua,
Era un gallito muy fino,
Que el gobierno respetaba,
El con su treinta en la mano,
Simón Blanco se llamaba"
