artist,song,year,lustro,es_narco_fuerte,subgenero_ia,etiqueta_humana,lyrics
Antonio Aguilar,Tampico Hermoso,1970,1970,1,13,0.0,"Uah, uah
Qué viva Tampico, Tamaulipas, uah

Tampico hermoso, oh, puerto tropical
Tú eres la dicha de todo mi país
Y por doquiera de ti me he de acordar
Por tu tesoro, al pobre haces feliz

Son tus campiñas petroleras un primor
Miles de obreros ahí, encuentran protección
Con las riquezas que tienes en rededor
Eres orgullo de todita la nación

Qué viva Tampico
Las tampiqueñas bonitas, preciosas
Pura tamaulipeca
Ajá-já

Mata Redonda, Chinampa y Amatlán
Con Zacamixtle, Potrero y Cerro Azul
Están rodeados de pozos sin contar
Siendo un conjunto de gran excentritud

Todo el tesoro petrolero del país
Está situado en tierra de Veracruz
Pues desde Tuxpan hasta Pánuco también
Miles de antorchas petroleras dan su luz

Uy-ah

Como en un sueño por medio de esta rima
Al gran Tampico, lo voy a dibujar
Desde Altamira, El Águila y Cecil
Y hasta Árbol Grande, La Unión y Miramar

Adiós la aduana, con el muelle y la estación
Mi vieja fuente del antiguo Tamesí
Adiós la milpa de ese barrio de la Unión
Donde las horas me pasaba tan feliz

¡Ah!
Y ahora también tiene Lienzo Charro
Ja-ja-ja
Uh-ah-uh-ah

Adiós colonia del Águila y La Barra
Plaza Alegre y Parque Nacional
Donde las horas felices me pasé
Bellos recuerdos que nunca olvidaré

Ya me despido de este puerto sin igual
Solo Dios sabe si algún día yo volveré
Y de Tampico por siempre me he de acordar
Y mientras viva, mis recuerdos le enviaré"
Antonio Aguilar,Adios Al As De Oros,1972,1970,1,6,0.0,"Ay el corrido a mi caballo el As de Oros
Cuando se lo llevaron despues vino la desgracia, ajay
Mi caballo

Adiós caballo dorado
Te vas a tierras lejanas
Me dejas desconsolado
Y de llorar me dan ganas

Tu mas tristeza penar
Porque a tu patria la extrañas
El conservar al amigo
En el hombre es lo primero

Y México fue testigo
Que fuiste mi compañero
Con elogios te bendigo
Hoy que vas al extranjero

Adiós caballos dorado
El que conmigo se crio
Cuando tenia los cinco años
Ángel Peralta se lo llevo

Ay señores que tristeza
En la plaza de alicante España
El 26 de Septiembre de 1965
Un cárdeno de Pablo Romero
Llamado Colillero mato a mi caballo
El As de Oros, Ángel lloro
Y yo también llore, ay

A ti te admira la gente
Porque hablar solo te falta
En los peligros valiente
Por eso mi alma te exalta

Espero seas obediente
Con mi hermano Ángel Peralta
Cuando en las plazas de toros
Resalten mas tu figura

Debes recordar As de Oros
Que hay que atacar con bravura
Las ovaciones son coros
Del triunfo y de la amargura

Parece que estoy mirando
Ese buque de vapor
Y al As de Oros relinchando
Y yo cantando de dolor"
Antonio Aguilar,El Caballo Blanco,1972,1970,1,5,0.0,"Este es el corrido del caballo blanco
Que en un día domingo feliz arrancara
Iba con la mira de llegar al norte
Habiendo salido de Guadalajara

Su noble jinete, le quito la rienda
Le quito la silla y se fue a puro pelo
Cruzo como rayo, tierras Nayaritas
Entre cerros verdes, y el azul del cielo

A paso más lento, llego hasta Escuinapa
Y por Culiacán, ya se andaba quedando
Dicen que cojeaba de la pata izquierda
Que llevaba todo el hocico sangrando

Pero lo miraron pasar por Sonora
Y el Valle del Yaqui le dio su ternura
Cuentan que cojeaba, de la pata izquierda
Y a pesar de todo, siguió su aventura

Llego hasta Hermosillo, siguió pa Caborca
Y por Mexicali sintió que moría
Subió paso a paso, por la Rumorosa
Llegando a Tijuana, con la luz del día

Cumplida su hazaña, se fue a Rosarito
Y no quiso echarse hasta ver Ensenada
Y este fue el corrido del Caballo Blanco
Que salió un domingo de Guadalajara"
Antonio Aguilar,Caballo Prieto Azabache,1972,1970,1,6,0.0,"Caballo prieto azabache
Cómo olvidarte, te debo la vida
Cuando iban a fusilarme
Las fuerzas leales de Pancho Villa

Aquella noche nublada
Una avanzada
Me sorprendió

Y tras de ser desarmado
Fui sentenciado
Al paredón

Ya cuando estaba en capilla
Le dijo Villa
A su asistente

""Me apartas ese caballo
Por educado
Y obediente""

Sabía que no me escapaba
Y solo pensaba
En la salvación

Y tú mi prieto azabache
También pensabas
Igual que yo

Uh-ya
Esta canción es dedicada a mi Lucero, sí, señor

Recuerdo que me dijeron
""Pide un deseo
Pa ajusticiarte""

""Yo quiero ser fusilao
En mi caballo
Prieto azabache""

Y cuando en ti me montaron
Y prepararon
La ejecución

Mi voz de mando esperaste
Te abalanzaste
Contra el pelotón

Con tres balazos de Máuser
Corriste azabache
Salvando mi vida

Lo que tú hiciste conmigo
Caballo amigo
No se me olvida

No pude salvar la tuya
Y la amargura
Me hace llorar

Por eso prieto azabache
No he de olvidarte
Nunca jamás"
Antonio Aguilar,Caballo Alazan Lucero,1972,1970,1,6,0.0,"Caballo alazán lucero
Que por ligero, qué bueno fuiste
Ganaste muchas careras
Yo bien recuerdo, nuca perdiste

Jamás tuviste derrota
De costa a costa, no fue mentira
Hasta que llego esa yegua
Por quien perdieras, hasta la vida

Sus ojos también oscuros
Clavo en los tuyos, como diciendo
""Que en esa quinientas varas, tú la dejaras
Llegar primero""

Lo tengo muy bien presente
Toda la gente por ti apostaba
Y tú dueño muy seguro
Su gran fortuna, se la jugaba

Al salir de partidero
Vi que la yegua, casi volaba
Y tú sin correr ligero
Dándole tiempo a que te ganara

Caballo alazán lucero
Cual caballero con una dama
La fortuna de tu dueño
Por cuerpo y medio, quedo en la nada

Ay, amigos, no solamente hombres y mujeres
También entre caballos y yeguas

Tu dueño desesperado
Echando mano a su pistola
""Si todo me lo han ganado
Este caballo solo me sobra""

Y no dando tiempo a nada
Con cinco balas, rodaste herido
Caíste junta a la yegua
Tú que por ella, habías perdido

Moriste viendo a la yegua
Como desciendo: ""está usted servida"", ¡ingrata!
Caballo alazán lucero
Hoy tu recuerdo, no se me olvida"
Antonio Aguilar,Caballo Prieto Azabache,1972,1970,1,6,0.0,"Caballo prieto azabache
Cómo olvidarte, te debo la vida
Cuando iban a fusilarme
Las fuerzas leales de Pancho Villa

Aquella noche nublada
Una avanzada
Me sorprendió

Y tras de ser desarmado
Fui sentenciado
Al paredón

Ya cuando estaba en capilla
Le dijo Villa
A su asistente

""Me apartas ese caballo
Por educado
Y obediente""

Sabía que no me escapaba
Y solo pensaba
En la salvación

Y tú mi prieto azabache
También pensabas
Igual que yo

Uh-ya
Esta canción es dedicada a mi Lucero, sí, señor

Recuerdo que me dijeron
""Pide un deseo
Pa ajusticiarte""

""Yo quiero ser fusilao
En mi caballo
Prieto azabache""

Y cuando en ti me montaron
Y prepararon
La ejecución

Mi voz de mando esperaste
Te abalanzaste
Contra el pelotón

Con tres balazos de Máuser
Corriste azabache
Salvando mi vida

Lo que tú hiciste conmigo
Caballo amigo
No se me olvida

No pude salvar la tuya
Y la amargura
Me hace llorar

Por eso prieto azabache
No he de olvidarte
Nunca jamás"
Antonio Aguilar,Caballo Alazan Lucero,1972,1970,1,6,0.0,"Caballo alazán lucero
Que por ligero, qué bueno fuiste
Ganaste muchas careras
Yo bien recuerdo, nuca perdiste

Jamás tuviste derrota
De costa a costa, no fue mentira
Hasta que llego esa yegua
Por quien perdieras, hasta la vida

Sus ojos también oscuros
Clavo en los tuyos, como diciendo
""Que en esa quinientas varas, tú la dejaras
Llegar primero""

Lo tengo muy bien presente
Toda la gente por ti apostaba
Y tú dueño muy seguro
Su gran fortuna, se la jugaba

Al salir de partidero
Vi que la yegua, casi volaba
Y tú sin correr ligero
Dándole tiempo a que te ganara

Caballo alazán lucero
Cual caballero con una dama
La fortuna de tu dueño
Por cuerpo y medio, quedo en la nada

Ay, amigos, no solamente hombres y mujeres
También entre caballos y yeguas

Tu dueño desesperado
Echando mano a su pistola
""Si todo me lo han ganado
Este caballo solo me sobra""

Y no dando tiempo a nada
Con cinco balas, rodaste herido
Caíste junta a la yegua
Tú que por ella, habías perdido

Moriste viendo a la yegua
Como desciendo: ""está usted servida"", ¡ingrata!
Caballo alazán lucero
Hoy tu recuerdo, no se me olvida"
Various,Juan Charrasqueado,1972,1970,1,12,0.0,"Voy a cantarles un corrido muy mentado
Lo que ha pasado ahí en la hacienda de La Flor
La triste historia de un ranchero enamorado
Que fue borracho, parrandero y jugador

Juan se llamaba y lo apodaban Charrasquiado
Era valiente y arriesgado en el amor
A las muchachas más bonitas se llevaba
De aquellos campos no quedaba ni una flor

Un día domingo que se andaba emborrachando
A la cantina le corrieron a avisar
""Cuídate Juan que ya por ahí te andan buscando
Son muchos hombres, no te vayan a matar""

No tuvo tiempo de montar en su caballo
Pistola en mano se le echaron de a montón
""Estoy borracho"", les gritaba, ""y soy buen gallo""
Cuando una bala atravesó su corazón

Creció la milpa con la lluvia en el potrero
Y las palomas van volando al pedregal
Bonitos toros llevan hoy al matadero
Qué buen caballo va montando el caporal

Ya las campanas del santuario están doblando
Todos los fieles se dirigen a rezar
Y por el cerro los rancheros van bajando
Un hombre muerto que lo llevan a enterrar

En una choza muy humilde llora un niño
Y las mujeres se aconsejan y se van
Pero su madre lo consuela con cariño
Mirando al cielo llora y reza por su Juan

Aquí termino de cantar este corrido
De Juan ranchero Charrasquiado y burlador
Ese que lloró de las mujeres consentido
Que fue borracho, parrandero y jugador"
Chelo,Dos Gallinas Finas,1976,1975,1,12,0.0,"Dos mujeres pelearon, pelearon
el amor del hombre que tanto adoraban,
con su sangre la tierra regaron
al darse la muerte de dos puñaladas

Concha le dijo a Enriqueta,
fíjate donde te metes
no por andar de coqueta,
un día tu me comprometas
de ese hombre soy su querida,
y mi honor se me respeta

Enriqueta contestó,
soy más fuerte y decidida
llevamos la misma sangre,
hermanita de mi vida
pero el cariño de ese hombre
lo defiendo con mi vida

Las dos sacaron puñales
ya andaban aprevenidas
sabían que ya eran rivales
y del mismo hombre queridas
valientes eran de sangre
eran dos gallinas finas."
Los Cadetes De Linares,Bayo Cara Blanca,1976,1975,1,6,0.0,"Pepito tenía un caballo
Que nomás él lo montaba
Era un bayo cara blanca
De siete cuartas de alzada
Ay, qué rechulo animal
Nomás hablar le faltaba

José quería aquel caballo
Como a su Dios lo adoraba
Todos los días muy temprano
Lo bañaba y lo ensillaba
Y el bayo de puro gusto
Se paraba y relinchaba

De La Arena hasta Terán
Jamás perdió una carrera
Ah, qué rechulo animal
Corría como una fiera
Del Provenir a San Juan
Dejo gente en la miseria

Pero el destino es muy cruel
Y no hay quien se le resista
Y quiso que aquel corcel
Un día perderá la vista
Ya nunca volvió a correr
Ni en el llano ni en la pista

Pa quitarlo de sufrir
José le dio tres balazos
Así le toco morir
A aquel que en la vida era un rayo
De la historia este es el fin
De Pepito y su caballo"
Los Cadetes De Linares,El Caballo Jovero,1976,1975,1,8,0.0,"Señores voy a cantarles un corrido verdadero
Es la historia de un caballo que se llamaba el Jovero
Los dos amigos lo hicieron un caballo de batalla
Cuando robaban los trenes el Jovero relinchaba
En su lomo el cargaba mucho valor en dinero
Del que robaba Martín y su amigo José el güero

Los soldados al Jovero, una tarde lo mataron
Cuando escapaba José de una carcel de Durango
Adiós pueblo de Durango y también Buenasevi
Se quedó solo el oscuro, ya se va pa' Martini
Ya con esta y me despido, es muy triste recordar
El Jovero ya murió, ya no lo iran a enmendar"
Ramon Ayala y sus Bravos Del Norte,Los Hermanos Bedolla,1977,1975,1,5,0.0,"Aquí les traigo el corrido
De la hacienda de La Joya
Voy a cantar la tragedia
De los hermanos Bedolla

Andando los dos tomando
Efrén le dice a Vicente
""Me gusta mucho tu esposa
Y aunque lo sepa la gente""

Vicente le contestó
""A Cristina no la nombres
Que por algo que se quiere
Siempre se matan los hombres""

Pero Efrén vuelve a insistirle
No quería que te enteraras
Porque Cristina fue mía
Antes de que se casaran

Vicente sacó su escuadra
Diciendo, aquí está tu amada
Acribillándolo a tiros
Allá por la madrugada

Cuando Efrén cayó al suelo
También le disparó a tiempo
Muriendo así por Cristina
Los hermanos al momento

Vuelen, zinzontles norteños
Y llévense este corrido
Se mataron dos hermanos
Acribillándose a tiros"
Antonio Aguilar,El Caballo Blanco,1984,1980,1,5,0.0,"Este es el corrido del caballo blanco
Que en un día domingo feliz arrancara
Iba con la mira de llegar al norte
Habiendo salido de Guadalajara

Su noble jinete, le quito la rienda
Le quito la silla y se fue a puro pelo
Cruzo como rayo, tierras Nayaritas
Entre cerros verdes, y el azul del cielo

A paso más lento, llego hasta Escuinapa
Y por Culiacán, ya se andaba quedando
Dicen que cojeaba de la pata izquierda
Que llevaba todo el hocico sangrando

Pero lo miraron pasar por Sonora
Y el Valle del Yaqui le dio su ternura
Cuentan que cojeaba, de la pata izquierda
Y a pesar de todo, siguió su aventura

Llego hasta Hermosillo, siguió pa Caborca
Y por Mexicali sintió que moría
Subió paso a paso, por la Rumorosa
Llegando a Tijuana, con la luz del día

Cumplida su hazaña, se fue a Rosarito
Y no quiso echarse hasta ver Ensenada
Y este fue el corrido del Caballo Blanco
Que salió un domingo de Guadalajara"
José Alfredo Jiménez,El Caballo Blanco,1983,1980,1,5,0.0,"Este es el corrido del caballo blanco
Que en un día domingo, feliz arrancara
Iba con la mira de llegar al norte
Habiendo salido de Guadalajara

Su noble jinete, le quitó la rienda
Le quitó la silla y se fue a puro pelo
Cruzó como rayo, tierras nayaritas
Entre cerros verdes y lo azul del cielo

A paso más lento, llegó hasta Escuinapa
Y por Culiacán, ya se andaba quedando
Cuentan que en Los Mochis, ya se iba cayendo
Que llevaba todo el hocico sangrando

Pero lo miraron pasar por Sonora
Y el Valle del Yaqui le dio su ternura
Dicen que cojeaba de la pata izquierda
Y a pesar de todo, siguió su aventura

Llegó hasta Hermosillo, siguió pa' Caborca
Y por Mexicali, sintió que moría
Subió paso a paso por La Rumorosa
Llegando a Tijuana con la luz del día

Cumplida su hazaña, se fue a Rosarito
Y no quiso echarse hasta ver Ensenada
Y este fue el corrido del caballo blanco
Que salió un domingo de Guadalajara"
Los Tigres Del Norte,Gallo De Pelea,1984,1980,1,12,0.0,"Quiero morir como mueren
Los gallos en los palenques
Pelear hasta que me muera
Si es que alguien puede vencerme
Yo soy gallo de pelea
Y no le temo a la muerte

También yo soy como el gallo
Para eso de las mujeres
Yo tengo una en cada rancho
Y seguro les conviene
Pues no me andan reclamando
Y toditas me son fieles

Los gallos y las mujeres
Son dos cosas igualitas
Los gallos me dan dinero
Las mujeres me lo quitan
Los gallos por peleoneros
Las mujeres por bonitas

Señores, pongan cuidado
Llegó el gallo de pelea
Vayan sacando sus gallos
Para apostar lo que sea
Pero si tienen pollitas
No me dejen que yo las vea

La suerte está de mi lado
Ahora me toca ganar
Porque jamás me he rajao
Cuando me toca pagar
Yo soy gallo de pelea
Y nunca me echo p'atrás

Los gallos y las mujeres
Son dos cosas igualitas
Los gallos me dan dinero
Las mujeres me lo quitan
Los gallos por peleoneros
Y las mujeres por bonitas"
Vicente Fernandez,Los Dos Compadres,1980,1980,1,12,0.0,"Se festejaba la fiesta de aquel pequeño poblado
Cuando escapo de las rejas el que mato a la Rosario
Y a la cantina más cerca
Se fue a tomar unos tragos

Fue la Rosario culpable que no se culpe al marido
Porque la hallo esa tarde
Con el que fue un gran amigo
Con su querido compadre
Con su compadre querido

Cuando salio, bien borracho
Se lo topo frente a frente
Mira que te ando buscando para acabar con tu suerte
Ya no me sigas rodeando, que ya me hueles a muerte

Epale, epale, para tus machos compadre
La ofensa tiene medida
Yo nunca he sido cobarde, y se jugarme la vida
Y ahorita voy a contarte de verdades desconocidas
Viniste a quemar tus naves por una causa perdida
Y por si tu no lo sabes
Rosario, cuando salías
Andaba por mil lugares con todos los que quería
A mi, a mi me busco una tarde, y el resto
El resto no es culpa mía

Cuando peleaban los giros
En la mitad del palenque
Solo sonaron dos tiros
Y dos cayeron de muerte
Los dos compadres queridos
Jamás volvieron a verse

Sigan señores la fiesta les ordeno el comisario
No pararemos la apuesta
Solo por dos novenarios
Los que murieron no cuentan
Que suelten los otros gallos

En ese pueblo sencillo
Cumplen los aniversarios
De aquella fecha sin brillo en que los dos adversarios
Que siendo buenos amigos
Murieron por la Rosario"
Antonio Aguilar,La Viuda Alegre,1988,1985,1,5,0.0,"Calle de la Palma Real
¿Por qué estás tan asombrosa?
Por la muerte de un amigo
Que lo ha matado su esposa

A las once de la noche
Conchita empezó a pensar
Voy a matar mi marido
Para poderme pasear

Cuando ya estaba dormido
Conchita se le acercó
Perdóname maridito
Ya tu hora se te llegó

Conchita, no seas ingrata
¿Por qué me vas a matar?
Por un amigo que tienes
Que va a ocupar tu lugar

La gente lo presentía
La gente lo comentaba
Ahí viene la viuda alegre
Decían, cuando pasaba

Luego que ya lo mató
Lo abrazaba y lo movía
Ahora si ya te moriste
Tesoro, del alma mía

El juez de letras le dijo
""Conchita, no llores más
Mira, yo no te castigo
Pos viuda, me gustas más""

¡Viejo alborotado!

Entre parranda y parranda
Conchita se divertía
Ya se la llevaron presa
Y de la justicia reía

Cantaban los criminales
Allá en las Islas Marías
Pa que festejar a Conchita
Que allí pasaba unos días

La gente lo presentía
La gente lo comentaba
Ahí viene la viuda alegre
Decían, cuando pasaba"
Antonio Aguilar,La Viuda Alegre,1988,1985,1,5,0.0,"Calle de la Palma Real
¿Por qué estás tan asombrosa?
Por la muerte de un amigo
Que lo ha matado su esposa

A las once de la noche
Conchita empezó a pensar
Voy a matar mi marido
Para poderme pasear

Cuando ya estaba dormido
Conchita se le acercó
Perdóname maridito
Ya tu hora se te llegó

Conchita, no seas ingrata
¿Por qué me vas a matar?
Por un amigo que tienes
Que va a ocupar tu lugar

La gente lo presentía
La gente lo comentaba
Ahí viene la viuda alegre
Decían, cuando pasaba

Luego que ya lo mató
Lo abrazaba y lo movía
Ahora si ya te moriste
Tesoro, del alma mía

El juez de letras le dijo
""Conchita, no llores más
Mira, yo no te castigo
Pos viuda, me gustas más""

¡Viejo alborotado!

Entre parranda y parranda
Conchita se divertía
Ya se la llevaron presa
Y de la justicia reía

Cantaban los criminales
Allá en las Islas Marías
Pa que festejar a Conchita
Que allí pasaba unos días

La gente lo presentía
La gente lo comentaba
Ahí viene la viuda alegre
Decían, cuando pasaba"
Los Tigres Del Norte,La Tumba Del Mojado,1988,1985,1,12,0.0,"No pude cruzar la raya, se me atravesó el Río Bravo
Me aprendieron malamente, cuando viví al otro lado,
Los dólares son bonitos, pero yo soy Mexicano

No tenía tarjeta verde, cuando trabaje en Louisiana
En un sótano viví, porque era espalda mojada
Tuve que inclinar la frente, para cobrar la semana

Las rosas de Mexicali, y la sangre en el Río Bravo,
Son dos cosas diferentes, pero en color son hermanos
Y la línea, divisoria, es la tumba del mojado

La cerca de la tortilla, es ofensa para el pueblo,
En México se pasean, Franceses, Chinos y Griegos,
Y algunos americanos, son caciques de los pueblos

Las rosas de Mexicali, y la sangre en el Río Bravo,
Son dos cosas diferentes, pero en color son hermanos
Y la línea, divisoria, es la tumba del mojado"
Pedro Infante,El Aventurero,1988,1985,1,0,0.0,"Hoy he vuelto de otras tierras
Donde fui de aventurero
Y me siento emocionado
Al hallarme en mi nidal

Me salí pa' convencerme
Si las cosas que yo quiero
Eran lindas a mis ojos
A mis ojos nada más

Vi mujeres a montones
Comparables a luceros
Me enredé como a los hombres
Con valientes de verdad

Ahora, he vuelto a mi Jalisco
Y confieso ser sincero
No lo cambio yo por nada
Ay, porque esa es la realidad

Porque mi Jalisco
No tiene rival
Ahí está su Chapala
Que no hay otro igual

Ahí están sus mujeres
Que son puro amor
Ahí están sus mariachis
Y ahí está su canción

Vi caballos en los lienzos
Responder a sus jinetes
Todos eran de los Altos
Para mi satisfacción

Vi cantar a los mariachis
Entre aplausos de las gentes
Y las hembras más bonitas
Casi todas de aquí son

El tequila allá lo toman
Hasta las americanas
Que se ponen unos cuetes
De Jalisco a su salud

Como oí tanto tu nombre
De volver me dieron ganas
Aquí estoy para quererte
Ay porque lo mereces tú

Porque mi Jalisco
No tiene rival
Ahí está su Chapala
Que no hay otro igual

Ahí están sus mujeres
Que son puro amor
Ahí están sus mariachis
Y ahí esta su canción"
Los Cadetes De Linares,La Tragedia De Rosita,1997,1995,1,12,0.0,"A las orillas del río
Lavaba ropa Rosita
Ni el trabajo ni el hastío
Marchitaban su carita
De todo aquel caserío
Ella era la más bonita

Los campesinos cantaban
Cuando la veían venir
Y su amor se disputaban
Por ella podían morir
Todos ellos adoraban
A aquella rosa de abril

El tiempo así transcurría
Cuando renacen las rosas
Pero aquel trágico día
Cambiaron mucho las cosas
La tragedia es compañía
De las mujeres hermosas

Aquel día amaneció
Nublado en el firmamento
Rosita al río bajó
Llevando su cargamento
Un hombre se le acercó
Trayendo un mal pensamiento

Rosita del alma mía
Le decía aquel ranchero
Cómo esperaba este día
Pa' decirte que te quiero
Ahora tienes que ser mía
O en el intento me muero

Debajo de aquel encino
Que de ese lugar creció
Aquel torvo campesino
De Rosita se burló
Luego la echó al remolino
Y el río se la llevó"
Los Huracanes Del Norte,La Dama De Rojo,1997,1995,1,12,0.0,"Salió de Guadalajara
En un avión a Colombia
Iba a vengar su marido
Una valiente señora
Cuando llegó a Medellín
Corto, tiró a su pistola

Como una fiera en la selva
Consiguió la información
Dónde se encontraba el Verde
El hombre que la violó
Le había matado al marido
Y una carga les bajó

El Verde era un colombiano
Jefe de una mafia entera
Su terror había cruzado
De México a la frontera
La muerte ya lo buscaba
Pero él no se daba cuenta

En un hotel cinco estrellas
Había una fiesta privada
Entró una dama de rojo
Gran belleza y elegancia
Hasta le hacían reverencia
Pa' que pasara la dama

Entre su ropa sacó
Una metralleta corta
Abrió juego contra el Verde
Y lo mató a quemarropa
Mató a cinco guardaespaldas
Y se peló en una troca

Trayendo tiro en las armas
Todos estamos parejos
Aquella dama de rojo
Solita, dejó seis muertos
Nunca se confíen de nadie
Eso nos sirve de ejemplo"
Antonio Aguilar,El Califa,2002,2000,1,6,0.0,"Señores voy a cantarles
El corrido de un caballo
Que se llamaba el Califa
Color alazan dorado

Su dueño el doctor Anaya
Medico muy afamado
Jamas perdió una carrera
Yo lo guardo en mi recuerdo

Como que el penco salia
Ya ahí en sus patas llevaba
El prestigio de su pueblo
De aquel caballo ligero

Solo un corrido quedo
Porque una noche de luna
De su corral se salio
Muerto quedo en la ladera
Del rancho donde nació

Y cuentan algunas gentes
Que el mero día de San Carlos
Se oye el relincho de un cuaco
Y los grito de un jinete

Animando a su caballo
Ah Califa, ah caballo
De allá del rancho de Trejo
Hasta el cerro de San Carlos

Ay aja, ay

Agarren apostadores
Ya no volverá el califa
Y anda por el partidero

Una potranca bonita
Criadero del mismo dueño
Viva la sierra chiquita

Y cuentan algunas gentes
Que el mero día de San Carlos
Se oye el relincho de un cuaco
Y los grito de un jinete
Animando a su caballo

Aah Califa, aah caballo
De allá del rancho de Trejo
Hasta el cerro de San Carlos"
