artist,song,lustro,etiqueta_humana,lyrics
Vicente Fernández,Caballo Golondrino,1970,,"Tenia fama de pelao
Siempre anda bien armado
Ese Maclovio Natera

Era revolucionario
Quería mucho a su caballo
Y le gustaba dar guerra

Su caballo era muy fino
Se llamaba Golondrino
Dosalbo y muy pajarero

Conocía bien el peligro
Se paraba en dos patitas
Si venteaba al enemigo

Al caballo como al hombre
El amor lo trae herido
Brinco el pesebre esa noche
Dejando a su amo dormido

Cuando volvió el nuevo día
Hallo a Maclovio tirado
Los rivales que tenía
Ya lo habían medio matado

...Y como decía Maclovio
¡Arriba La Revolución Hijos
De Pancho Villa!

Cuando Maclovio moría
Debajo de su caballo
Se quejaba y se reía

Su caballo relinchaba
Con las patas lo meneaba
Quería volverlo a la vida
Cuando el caballo venteo
Que estaba muerto de veras
Sin detenerse corrió
Internándose en la sierra
Los del pueblo lo buscaron
Sin encontrarlo ya nunca
El caballo Golondrino
Siguió a Maclovio a su tumba"
Ignacio López Tarso,Despierten Ya Mexicanos,1995,,"Dispierten ya, mexicanos
Los que no han podido ver
Que andan derramando sangre por subir a otro al poder

Pobre nación mexicana
¡Qué mala ha sido tu suerte!
Tus hijos todavía quieren más en la desgracia verte

Mira a mi patria querida nomás cómo va quedando
Que a sus hombres más valientes todos los van traicionando
¿Dónde está el jefe Zapata que su espada ya no brilla?
¿Dónde está el braco del norte que era don Francisco Villa?

Estaban las tres pelonas sentadas en la ventana
La Cuca, la Petra, la loca de Soledad
Y luego llegó un soldado queriéndoselas llevar
Una decía que sí, la otra decía que no
Una decía que sí y al final se las llevó

Fueron líderes primeros que empuñaron el acero
Hasta subir al poder a Don Francisco y Madero
Pero qué iluso Madero, cuando subió al poder
A Pancho Villa y Zapata los quiso desconocer

Yo no he visto candidato que no sea convenenciero
Cuando suben al poder, ah, no conocen compañero
Zapata le dijo a Villa: ""ya perdimos el albur
Tú atacarás por el norte, yo atacaré por el sur""

Ya con esta me despido
Porque nosotros nos vamos
Aquí termina el corrido
Despierten ya mexicanos"
Ignacio López Tarso,Despierten Ya Mexicanos,1995,,"Dispierten ya, mexicanos
Los que no han podido ver
Que andan derramando sangre por subir a otro al poder

Pobre nación mexicana
¡Qué mala ha sido tu suerte!
Tus hijos todavía quieren más en la desgracia verte

Mira a mi patria querida nomás cómo va quedando
Que a sus hombres más valientes todos los van traicionando
¿Dónde está el jefe Zapata que su espada ya no brilla?
¿Dónde está el braco del norte que era don Francisco Villa?

Estaban las tres pelonas sentadas en la ventana
La Cuca, la Petra, la loca de Soledad
Y luego llegó un soldado queriéndoselas llevar
Una decía que sí, la otra decía que no
Una decía que sí y al final se las llevó

Fueron líderes primeros que empuñaron el acero
Hasta subir al poder a Don Francisco y Madero
Pero qué iluso Madero, cuando subió al poder
A Pancho Villa y Zapata los quiso desconocer

Yo no he visto candidato que no sea convenenciero
Cuando suben al poder, ah, no conocen compañero
Zapata le dijo a Villa: ""ya perdimos el albur
Tú atacarás por el norte, yo atacaré por el sur""

Ya con esta me despido
Porque nosotros nos vamos
Aquí termina el corrido
Despierten ya mexicanos"
Ignacio López Tarso,Despierten Ya Mexicanos,1970,,"Dispierten ya, mexicanos
Los que no han podido ver
Que andan derramando sangre por subir a otro al poder

Pobre nación mexicana
¡Qué mala ha sido tu suerte!
Tus hijos todavía quieren más en la desgracia verte

Mira a mi patria querida nomás cómo va quedando
Que a sus hombres más valientes todos los van traicionando
¿Dónde está el jefe Zapata que su espada ya no brilla?
¿Dónde está el braco del norte que era don Francisco Villa?

Estaban las tres pelonas sentadas en la ventana
La Cuca, la Petra, la loca de Soledad
Y luego llegó un soldado queriéndoselas llevar
Una decía que sí, la otra decía que no
Una decía que sí y al final se las llevó

Fueron líderes primeros que empuñaron el acero
Hasta subir al poder a Don Francisco y Madero
Pero qué iluso Madero, cuando subió al poder
A Pancho Villa y Zapata los quiso desconocer

Yo no he visto candidato que no sea convenenciero
Cuando suben al poder, ah, no conocen compañero
Zapata le dijo a Villa: ""ya perdimos el albur
Tú atacarás por el norte, yo atacaré por el sur""

Ya con esta me despido
Porque nosotros nos vamos
Aquí termina el corrido
Despierten ya mexicanos"
Ignacio López Tarso,Despierten Ya Mexicanos,2005,,"Dispierten ya, mexicanos
Los que no han podido ver
Que andan derramando sangre por subir a otro al poder

Pobre nación mexicana
¡Qué mala ha sido tu suerte!
Tus hijos todavía quieren más en la desgracia verte

Mira a mi patria querida nomás cómo va quedando
Que a sus hombres más valientes todos los van traicionando
¿Dónde está el jefe Zapata que su espada ya no brilla?
¿Dónde está el braco del norte que era don Francisco Villa?

Estaban las tres pelonas sentadas en la ventana
La Cuca, la Petra, la loca de Soledad
Y luego llegó un soldado queriéndoselas llevar
Una decía que sí, la otra decía que no
Una decía que sí y al final se las llevó

Fueron líderes primeros que empuñaron el acero
Hasta subir al poder a Don Francisco y Madero
Pero qué iluso Madero, cuando subió al poder
A Pancho Villa y Zapata los quiso desconocer

Yo no he visto candidato que no sea convenenciero
Cuando suben al poder, ah, no conocen compañero
Zapata le dijo a Villa: ""ya perdimos el albur
Tú atacarás por el norte, yo atacaré por el sur""

Ya con esta me despido
Porque nosotros nos vamos
Aquí termina el corrido
Despierten ya mexicanos"
Antonio Aguilar,El Patas Blancas,1970,,"Caballo de patas blancas
Con herraduras de acero
Hoy vas a brincar las trancas
Antes que salga el lucero

Y vas a llevar en ancas
A la mujer que yo quiero
(A la mujer que yo quiero)

La gente por donde quiera
Ya saben que soy matrero
Y traigo en mi carrillera
Cincuenta balas de acero

Para llevarme a mi prieta
En mi caballo lucero
(En mi caballo lucero)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)

Yo sé que me están buscando
Con ansia desesperada
También yo me estoy quemando
Por conocer tu manada

Y verlos agonizando
Comiendo sangre empolvada
(Comiendo sangre empolvada)

Por ahí dicen que la muerte
Me anda siguiendo los pasos
Y yo digo que la suerte
Me ha de llevar a tus brazos

Entonces podré besarte
Aunque me den de balazo
(Aunque me den de balazo)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)"
Antonio Aguilar,El Patas Blancas,1970,,"Caballo de patas blancas
Con herraduras de acero
Hoy vas a brincar las trancas
Antes que salga el lucero

Y vas a llevar en ancas
A la mujer que yo quiero
(A la mujer que yo quiero)

La gente por donde quiera
Ya saben que soy matrero
Y traigo en mi carrillera
Cincuenta balas de acero

Para llevarme a mi prieta
En mi caballo lucero
(En mi caballo lucero)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)

Yo sé que me están buscando
Con ansia desesperada
También yo me estoy quemando
Por conocer tu manada

Y verlos agonizando
Comiendo sangre empolvada
(Comiendo sangre empolvada)

Por ahí dicen que la muerte
Me anda siguiendo los pasos
Y yo digo que la suerte
Me ha de llevar a tus brazos

Entonces podré besarte
Aunque me den de balazo
(Aunque me den de balazo)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)"
Antonio Aguilar,El Patas Blancas,2000,,"Caballo de patas blancas
Con herraduras de acero
Hoy vas a brincar las trancas
Antes que salga el lucero

Y vas a llevar en ancas
A la mujer que yo quiero
(A la mujer que yo quiero)

La gente por donde quiera
Ya saben que soy matrero
Y traigo en mi carrillera
Cincuenta balas de acero

Para llevarme a mi prieta
En mi caballo lucero
(En mi caballo lucero)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)

Yo sé que me están buscando
Con ansia desesperada
También yo me estoy quemando
Por conocer tu manada

Y verlos agonizando
Comiendo sangre empolvada
(Comiendo sangre empolvada)

Por ahí dicen que la muerte
Me anda siguiendo los pasos
Y yo digo que la suerte
Me ha de llevar a tus brazos

Entonces podré besarte
Aunque me den de balazo
(Aunque me den de balazo)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)"
Antonio Aguilar,El Patas Blancas,2000,,"Caballo de patas blancas
Con herraduras de acero
Hoy vas a brincar las trancas
Antes que salga el lucero

Y vas a llevar en ancas
A la mujer que yo quiero
(A la mujer que yo quiero)

La gente por donde quiera
Ya saben que soy matrero
Y traigo en mi carrillera
Cincuenta balas de acero

Para llevarme a mi prieta
En mi caballo lucero
(En mi caballo lucero)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)

Yo sé que me están buscando
Con ansia desesperada
También yo me estoy quemando
Por conocer tu manada

Y verlos agonizando
Comiendo sangre empolvada
(Comiendo sangre empolvada)

Por ahí dicen que la muerte
Me anda siguiendo los pasos
Y yo digo que la suerte
Me ha de llevar a tus brazos

Entonces podré besarte
Aunque me den de balazo
(Aunque me den de balazo)

Yo sé que tus pretendientes
Presumen de ser matones
El miedo que yo les tengo
Lo traigo aquí en los talones
(Lo traigo aquí en los talones)"
Bad Bunny,Perfumito Nuevo,2025,,"Hoy salí de nuevo pero ya quiero algo nuevo, creo
Si me ves por ahí ni me conoce'
Cinderella despué' de las 12

Ya me convertí
Vámonos de aquí
Que me gusta cómo huele'
Y más cómo te mueve'

Dime ya cuándo voy a probar tu perfumito nuevo
La otra vez no te la vi, papi sé que te la debo
Dime ya cuándo voy a probar tu perfumito nuevo
Hoy estoy pa' ti, ¿qué va' a hacer si me pego?

Acabo de mirar el reloj y son las 1:16
Significa que ya no te vo'a dar break
Sigue mirando así, sigue mirando así, sigue mirando

Que te lo pongo aquí mismo, mmm
Sigue bailando mami, que te estoy midiendo el ritmo
No parece leo ni escorpio
Pa mí que ella tiene su propio signo

Fría, sentimental, está en temporada de portarse mal
A vece' es difícil meditar y solo quiere gritar
O buscarme pa' chingar

Y yo se lo voy a dar a la hora que sea
Si yo bajo pa'llá abajo va a subir la marea
Los ojito' se le marean
Baby, yo vo'a hacer que tú crea'-ea

Diablo, tú ere' una bellaquita igual que yo
Perfumito nuevo, tú huele' cabrón
Por poquito te rompo el mahón

Dime ya cuándo voy a probar tu perfumito nuevo
La otra ve' no te lo di, mami, sé que te la debo

Baby tú ere' una estrella, esa boca sabe a carambola
Fuego, desde que te vi me puse roja
Con los ojo' me quitaste el traje
Te tengo bailando sin modale' (dale)
Diantre, tú y yo somo' iguale'

Hoy le dimo' y mañana le damo'
De weekend en Coamo
En la montaña te vo'a hacer la rusa, ey
¿Qué cojone'? ¿qué tú tiene' que me pone en musa?

Mami, tú te ve' bien a mi lao
Si tú estás, yo no miro pa'l lao
5-6, me tiene' dominao
Me imagino contigo peleao

Papi, tú te ve' bien a mí lao
Contigo yo no miro pa'l lao
5-6, te tengo dominao
Y todavía no hemo' ni chingao

Dime ya"
